fuel,measured,year,data
Biobencin (1000 t),Izvoz,2000,
Biobencin (1000 t),Končna poraba - drugi porabniki,2000,
Biobencin (1000 t),Končna poraba - energetski sektor,2000,
Biobencin (1000 t),Končna poraba - gospodinjstva,2000,
Biobencin (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Biobencin (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Biobencin (1000 t),Končna poraba - promet,2000,
Biobencin (1000 t),"Končna poraba - promet, od tega železniški",2000,
Biobencin (1000 t),Končna poraba - skupaj,2000,
Biobencin (1000 t),Kurilnost,2000,
Biobencin (1000 t),Medn. pomorska skladišča,2000,
Biobencin (1000 t),Neenergetska raba,2000,
Biobencin (1000 t),Oskrba - skupaj,2000,
Biobencin (1000 t),Proizvodnja,2000,
Biobencin (1000 t),Sprememba zalog,2000,
Biobencin (1000 t),Transformacija,2000,
Biobencin (1000 t),Uvoz,2000,
Biodizelsko gorivo (1000 t),Izvoz,2000,
Biodizelsko gorivo (1000 t),Končna poraba - drugi porabniki,2000,
Biodizelsko gorivo (1000 t),Končna poraba - energetski sektor,2000,
Biodizelsko gorivo (1000 t),Končna poraba - gospodinjstva,2000,
Biodizelsko gorivo (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Biodizelsko gorivo (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Biodizelsko gorivo (1000 t),Končna poraba - promet,2000,
Biodizelsko gorivo (1000 t),"Končna poraba - promet, od tega železniški",2000,
Biodizelsko gorivo (1000 t),Končna poraba - skupaj,2000,
Biodizelsko gorivo (1000 t),Kurilnost,2000,
Biodizelsko gorivo (1000 t),Medn. pomorska skladišča,2000,
Biodizelsko gorivo (1000 t),Neenergetska raba,2000,
Biodizelsko gorivo (1000 t),Oskrba - skupaj,2000,
Biodizelsko gorivo (1000 t),Proizvodnja,2000,
Biodizelsko gorivo (1000 t),Sprememba zalog,2000,
Biodizelsko gorivo (1000 t),Transformacija,2000,
Biodizelsko gorivo (1000 t),Uvoz,2000,
Dizelsko gorivo (1000 t),Izvoz,2000,-87.000
Dizelsko gorivo (1000 t),Končna poraba - drugi porabniki,2000,
Dizelsko gorivo (1000 t),Končna poraba - energetski sektor,2000,
Dizelsko gorivo (1000 t),Končna poraba - gospodinjstva,2000,
Dizelsko gorivo (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,71.000
Dizelsko gorivo (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,33.000
Dizelsko gorivo (1000 t),Končna poraba - promet,2000,342.000
Dizelsko gorivo (1000 t),"Končna poraba - promet, od tega železniški",2000,11.000
Dizelsko gorivo (1000 t),Končna poraba - skupaj,2000,446.000
Dizelsko gorivo (1000 t),Kurilnost,2000,42600.000
Dizelsko gorivo (1000 t),Medn. pomorska skladišča,2000,
Dizelsko gorivo (1000 t),Neenergetska raba,2000,
Dizelsko gorivo (1000 t),Oskrba - skupaj,2000,446.000
Dizelsko gorivo (1000 t),Proizvodnja,2000,25.000
Dizelsko gorivo (1000 t),Sprememba zalog,2000,-11.000
