year,total,target_2030,tes,tetol,teb,tet,energetika_ljubljana,energetika_maribor,energetika_celje,enos_energetika,petrol_energetika,m_energetika,other
1990,6374.89039492216,2358.709446121199,,,,,,,,,,,
1991,5431.41390977294,2358.709446121199,,,,,,,,,,,
1992,5964.57329434093,2358.709446121199,,,,,,,,,,,
1993,5754.25303161925,2358.709446121199,,,,,,,,,,,
1994,5536.86203592206,2358.709446121199,,,,,,,,,,,
1995,5725.07600922155,2358.709446121199,,,,,,,,,,,
1996,5327.36425061301,2358.709446121199,,,,,,,,,,,
1997,5749.26551131038,2358.709446121199,,,,,,,,,,,
1998,5988.40704589378,2358.709446121199,,,,,,,,,,,
1999,5289.14098598982,2358.709446121199,,,,,,,,,,,
2000,5594.43709289473,2358.709446121199,,,,,,,,,,,
2001,6311.77853524611,2358.709446121199,,,,,,,,,,,
2002,6564.32111457495,2358.709446121199,,,,,,,,,,,
2003,6289.3752588584,2358.709446121199,,,,,,,,,,,
2004,6421.86849991294,2358.709446121199,,,,,,,,,,,
2005,6448.19823352236,2358.709446121199,4623,858,28,671,51,32,14,28,26,4,113.19823352236017
2006,6504.66053564326,2358.709446121199,4662,809,19,747,57,22,13,26,24,3,122.66053564326012
2007,6725.74702498781,2358.709446121199,4907,809,57,727,46,19,12,24,27,3,94.74702498780971
2008,6498.68064604158,2358.709446121199,4798,826,13,683,43,20,11,24,24,3,53.680646041580076
2009,6222.8668852839,2358.709446121199,4573,701,13,730,53,22,10,23,21,2,74.86688528390005
2010,6356.24392720327,2358.709446121199,4775,756,6,591,42,23,10,24,22,2,105.24392720326978
2011,6376.10070819255,2358.709446121199,4676,722,11,747,42,21,9,17,20,2,109.10070819254997
2012,6066.87804717149,2358.709446121199,4548,671,9,636,44,20,7,17,19,2,93.87804717148992
2013,5785.88456181011,2358.709446121199,4362,650,5,553,37,19,3,16,19,1,120.88456181011043
2014,4460.07684414878,2358.709446121199,3531,585,10,143,40,7,1,15,18,1,109.07684414877986
2015,4573.48211687943,2358.709446121199,3791,566,9,0,37,7,1,15,18,1,128.48211687942967
2016,4942.33166723279,2358.709446121199,4149,577,7,0,39,10,1,16,17,1,125.3316672327901
2017,4929.9359059769,2358.709446121199,4073,611,11,2,42,13,2,16,17,1,141.93590597690036
2018,4816.23497671696,2358.709446121199,3927,627,10,0,40,13,1,16,10,1,171.23497671695986
2019,4583.48533571971,2358.709446121199,3817,488,16,0,57,13,2,18,11,0,161.48533571970984
