supply_and_consumption,year,energy_source,data
Domača proizvodnja,2000,Električna energija,
Domača proizvodnja,2000,Energetski viri-SKUPAJ,136667
Domača proizvodnja,2000,"Geoterm., sončna itd.",222
Domača proizvodnja,2000,Hidro energija,13804
Domača proizvodnja,2000,Naftni proizvodi,0
Domača proizvodnja,2000,Nuklearna energija,51938
Domača proizvodnja,2000,Obnovljivi viri in odpadki,23711
Domača proizvodnja,2000,Surova nafta,66
Domača proizvodnja,2000,Toplota,
Domača proizvodnja,2000,Trdna goriva,46687
Domača proizvodnja,2000,Zemeljski plin,239
Izvoz,2000,Električna energija,-19991
Izvoz,2000,Energetski viri-SKUPAJ,-29742
Izvoz,2000,"Geoterm., sončna itd.",
Izvoz,2000,Hidro energija,
Izvoz,2000,Naftni proizvodi,-9737
Izvoz,2000,Nuklearna energija,
Izvoz,2000,Obnovljivi viri in odpadki,0
Izvoz,2000,Surova nafta,0
Izvoz,2000,Toplota,
Izvoz,2000,Trdna goriva,-14
Izvoz,2000,Zemeljski plin,0
Končna poraba,2000,Električna energija,38390
Končna poraba,2000,Energetski viri-SKUPAJ,195988
Končna poraba,2000,"Geoterm., sončna itd.",222
Končna poraba,2000,Hidro energija,0
Končna poraba,2000,Naftni proizvodi,94119
Končna poraba,2000,Nuklearna energija,0
Končna poraba,2000,Obnovljivi viri in odpadki,22725
Končna poraba,2000,Surova nafta,0
Končna poraba,2000,Toplota,8181
Končna poraba,2000,Trdna goriva,3383
Končna poraba,2000,Zemeljski plin,28968
Končna poraba-Drugi porabniki,2000,Električna energija,7798
Končna poraba-Drugi porabniki,2000,Energetski viri-SKUPAJ,25053
Končna poraba-Drugi porabniki,2000,"Geoterm., sončna itd.",0
Končna poraba-Drugi porabniki,2000,Hidro energija,
Končna poraba-Drugi porabniki,2000,Naftni proizvodi,12170
Končna poraba-Drugi porabniki,2000,Nuklearna energija,
Končna poraba-Drugi porabniki,2000,Obnovljivi viri in odpadki,73
Končna poraba-Drugi porabniki,2000,Surova nafta,
Končna poraba-Drugi porabniki,2000,Toplota,4229
Končna poraba-Drugi porabniki,2000,Trdna goriva,0
Končna poraba-Drugi porabniki,2000,Zemeljski plin,784
Končna poraba-Energetski sektor,2000,Električna energija,511
Končna poraba-Energetski sektor,2000,Energetski viri-SKUPAJ,750
Končna poraba-Energetski sektor,2000,"Geoterm., sončna itd.",0
Končna poraba-Energetski sektor,2000,Hidro energija,
Končna poraba-Energetski sektor,2000,Naftni proizvodi,0
Končna poraba-Energetski sektor,2000,Nuklearna energija,
Končna poraba-Energetski sektor,2000,Obnovljivi viri in odpadki,0
Končna poraba-Energetski sektor,2000,Surova nafta,
Končna poraba-Energetski sektor,2000,Toplota,0
Končna poraba-Energetski sektor,2000,Trdna goriva,0
Končna poraba-Energetski sektor,2000,Zemeljski plin,239
Končna poraba-Gospodinjstva,2000,Električna energija,9364
Končna poraba-Gospodinjstva,2000,Energetski viri-SKUPAJ,51833
Končna poraba-Gospodinjstva,2000,"Geoterm., sončna itd.",222
Končna poraba-Gospodinjstva,2000,Hidro energija,
Končna poraba-Gospodinjstva,2000,Naftni proizvodi,16116
Končna poraba-Gospodinjstva,2000,Nuklearna energija,
Končna poraba-Gospodinjstva,2000,Obnovljivi viri in odpadki,19524
Končna poraba-Gospodinjstva,2000,Surova nafta,
Končna poraba-Gospodinjstva,2000,Toplota,3952
Končna poraba-Gospodinjstva,2000,Trdna goriva,201
Končna poraba-Gospodinjstva,2000,Zemeljski plin,2454
Končna poraba-Kmetijstvo in gozdarstvo,2000,Električna energija,0
Končna poraba-Kmetijstvo in gozdarstvo,2000,Energetski viri-SKUPAJ,3244
Končna poraba-Kmetijstvo in gozdarstvo,2000,"Geoterm., sončna itd.",0
Končna poraba-Kmetijstvo in gozdarstvo,2000,Hidro energija,
Končna poraba-Kmetijstvo in gozdarstvo,2000,Naftni proizvodi,3244
Končna poraba-Kmetijstvo in gozdarstvo,2000,Nuklearna energija,
