st_postaje,tip_postaje,ime_postaje,nadm_vis,lat,lon,datum_zacetka,datum_konca
3,podnebna,KRVAVEC,1478,46.30,14.52,1959-07-24,1973-08-15
3,podnebna,KRVAVEC,1742,46.30,14.54,1973-08-15,
3,samodejna,KRVAVEC,1742,46.30,14.54,1997-07-08,1999-08-06
3,samodejna,KRVAVEC,1742,46.30,14.54,1999-08-06,
3,registrator,KRVAVEC,1742,46.30,14.54,2012-12-17,2014-05-22
3,registrator,KRVAVEC,1742,46.30,14.54,2016-01-08,2016-02-21
3,registrator,KRVAVEC,1742,46.30,14.54,2017-09-07,
6,podnebna,VOLČJI POTOK,336,46.18,14.61,1973-11-13,1989-06-22
6,podnebna,VOLČJI POTOK,342,46.19,14.61,1954-12-03,1973-11-13
6,registrator,VOLČJI POTOK,342,46.19,14.61,2005-11-11,
8,podnebna,BRNIK - LETALIŠČE,363,46.22,14.48,1966-05-31,1978-11-16
8,podnebna,BRNIK - LETALIŠČE,371,46.22,14.47,1963-01-21,1963-12-11
8,podnebna,BRNIK - LETALIŠČE,380,46.23,14.46,1963-12-11,1966-05-31
8,podnebna,BRNIK - LETALIŠČE,384,46.23,14.46,1978-11-16,1994-05-25
8,podnebna,LETALIŠČE JOŽETA PUČNIKA LJUBLJANA,362,46.21,14.48,2017-08-25,
8,podnebna,LETALIŠČE JOŽETA PUČNIKA LJUBLJANA,364,46.22,14.48,1994-05-25,2017-08-25
8,samodejna,LETALIŠČE JOŽETA PUČNIKA LJUBLJANA,362,46.21,14.48,2017-07-25,
8,samodejna,LETALIŠČE JOŽETA PUČNIKA LJUBLJANA,364,46.22,14.48,1993-12-21,2017-08-25
8,registrator,BRNIK - LETALIŠČE,384,46.23,14.46,2017-06-21,2019-07-25
8,registrator,LETALIŠČE JOŽETA PUČNIKA LJUBLJANA,364,46.22,14.48,2008-06-30,2008-08-12
14,podnebna,ZGORNJE BITNJE,378,46.22,14.34,1959-01-01,1971-07-01
17,podnebna,JAVORJE NAD POLJANAMI,690,46.16,14.18,1975-05-06,1991-01-01
17,podnebna,JAVORJE NAD POLJANAMI,700,46.17,14.18,1924-12-01,1975-05-06
20,podnebna,ŽIRI,480,46.05,14.12,1945-11-01,1971-01-01
20,samodejna,ŽIRI,498,46.05,14.12,2015-04-01,
21,samodejna,DAVČA,1001,46.20,14.07,2015-05-18,
22,samodejna,ZGORNJA SORICA,846,46.22,14.03,2014-01-13,
26,podnebna,PREDDVOR,485,46.30,14.42,1991-07-01,2011-12-01
26,registrator,PREDDVOR,485,46.30,14.42,2009-01-28,2011-12-13
27,podnebna,ZGORNJE JEZERSKO,889,46.40,14.50,1977-06-16,1981-08-01
27,podnebna,ZGORNJE JEZERSKO,889,46.40,14.50,1953-01-01,1977-06-16
27,podnebna,ZGORNJE JEZERSKO,889,46.40,14.50,1981-08-01,1984-05-01
30,samodejna,JELENDOL,760,46.40,14.35,2016-05-06,
31,podnebna,GOLNIK,500,46.33,14.34,1925-01-01,1978-05-10
34,podnebna,RADOVLJICA,495,46.35,14.18,1954-10-20,1979-01-01
37,podnebna,HRUŠICA PRI JESENICAH,600,46.45,14.01,1976-07-01,1978-08-01
38,podnebna,PLANINA POD GOLICO,950,46.47,14.05,1960-06-14,1976-11-24
38,podnebna,PLANINA POD GOLICO,957,46.47,14.06,1976-11-24,2015-03-01
38,samodejna,PLANINA POD GOLICO,957,46.47,14.06,2014-01-13,
38,registrator,PLANINA POD GOLICO,957,46.47,14.06,2008-04-28,2015-05-02
38,registrator,PLANINA POD GOLICO,957,46.47,14.06,2015-03-01,2018-07-01
39,podnebna,RADOVNA - ELEKTRARNA,630,46.39,14.04,1975-05-01,1987-01-01
39,podnebna,RADOVNA - ELEKTRARNA,645,46.38,14.03,1919-01-01,1975-05-01
40,samodejna,ZGORNJA RADOVNA,777,46.42,13.94,2015-10-01,
45,podnebna,STARA FUŽINA,548,46.29,13.90,1952-01-01,1970-01-01
45,podnebna,STARA FUŽINA,548,46.29,13.90,1970-01-01,2002-06-01
45,registrator,STARA FUŽINA,548,46.29,13.90,2002-06-03,2002-09-14
45,registrator,STARA FUŽINA,548,46.29,13.90,2003-02-06,2004-03-01
47,podnebna,DOM NA KOMNI,1522,46.28,13.78,1937-04-21,1983-04-01
48,podnebna,KREDARICA,2513,46.38,13.85,1955-01-01,
48,samodejna,KREDARICA,2513,46.38,13.85,1994-09-12,
48,registrator,KREDARICA,2513,46.38,13.85,2015-08-01,2015-10-01
48,registrator,KREDARICA,2513,46.38,13.85,2017-07-11,2017-09-01
51,podnebna,RATEČE,864,46.50,13.72,1949-01-01,2017-07-01
51,samodejna,RATEČE,864,46.50,13.72,1999-12-27,
51,registrator,RATEČE,864,46.50,13.72,2009-10-31,2009-12-04
51,registrator,RATEČE,864,46.50,13.72,2018-02-14,
52,samodejna,PREDEL,1155,46.42,13.58,2016-08-30,
58,podnebna,BOVEC,425,46.33,13.55,1962-06-26,1978-10-01
