st_postaje,tip_postaje,leto,tprim12,tprim15,zacetek_ks,konec_ks,traj_ks,tpres18,tpres21,tpres23,cdd24
3,podnebna,1961,,,,,,,,,
3,podnebna,1962,5602,5005,1961-07-01,1962-06-30,365,1,0,0,0
3,podnebna,1963,5850,5192,1962-07-01,1963-06-23,358,0,0,0,0
3,podnebna,1964,5247,4775,1963-07-13,1964-06-14,338,0,0,0,0
3,podnebna,1965,,,,,,,,,
3,podnebna,1966,5385,4802,1965-07-05,1966-06-30,361,0,0,0,0
3,podnebna,1967,5604,4981,1966-07-01,1967-06-24,359,5,0,0,0
3,podnebna,1968,,,,,,,,,
3,podnebna,1969,,,,,,,,,
3,podnebna,1970,5723,5094,1969-07-01,1970-06-14,349,6,0,0,0
3,podnebna,1971,,,,,,,,,
3,podnebna,1972,,,,,,,,,
3,podnebna,1973,,,,,,,,,
3,podnebna,1974,,,,,,,,,
3,podnebna,1975,6136,5571,1974-07-01,1975-06-30,365,2,0,0,0
3,podnebna,1976,6012,5506,1975-07-01,1976-06-30,366,0,0,0,0
3,podnebna,1977,6156,5492,1976-07-09,1977-06-30,357,0,0,0,0
3,podnebna,1978,6379,5747,1977-07-01,1978-06-30,365,0,0,0,0
3,podnebna,1979,6179,5576,1978-07-01,1979-06-30,365,0,0,0,0
3,podnebna,1980,6492,5830,1979-07-01,1980-06-30,366,0,0,0,0
3,podnebna,1981,6196,5596,1980-07-01,1981-06-30,365,5,0,0,0
3,podnebna,1982,6186,5443,1981-07-01,1982-06-30,365,0,0,0,0
3,podnebna,1983,5421,4876,1982-07-01,1983-06-30,365,11,3,0,0
3,podnebna,1984,6082,5452,1983-07-01,1984-06-30,366,4,0,0,0
3,podnebna,1985,6321,5534,1984-07-01,1985-06-30,365,0,0,0,0
3,podnebna,1986,5812,5167,1985-07-01,1986-06-30,365,0,0,0,0
3,podnebna,1987,6084,5322,1986-07-02,1987-06-30,364,5,0,0,0
3,podnebna,1988,5784,5081,1987-07-07,1988-06-30,360,3,0,0,0
3,podnebna,1989,5461,4768,1988-07-01,1989-06-30,365,0,0,0,0
3,podnebna,1990,5458,4738,1989-07-01,1990-06-28,363,0,0,0,0
3,podnebna,1991,6075,5438,1990-07-05,1991-06-30,361,0,0,0,0
3,podnebna,1992,5727,5045,1991-07-01,1992-06-30,366,9,0,0,0
3,podnebna,1993,5485,4768,1992-07-01,1993-06-30,365,0,0,0,0
3,podnebna,1994,,,,,,,,,
3,podnebna,1995,5622,4971,1994-07-10,1995-06-30,356,0,0,0,0
3,podnebna,1996,5951,5200,1995-07-06,1996-06-30,361,0,0,0,0
3,podnebna,1997,5980,5224,1996-07-01,1997-06-30,365,0,0,0,0
3,podnebna,1998,5689,4951,1997-07-03,1998-06-30,363,9,0,0,0
3,podnebna,1999,5940,5157,1998-07-05,1999-06-30,361,0,0,0,0
3,podnebna,2000,5683,4963,1999-07-01,2000-06-30,366,2,0,0,0
3,podnebna,2001,5632,4868,2000-07-01,2001-06-30,365,0,0,0,0
3,podnebna,2002,5484,4753,2001-07-02,2002-06-30,364,1,0,0,0
3,podnebna,2003,5559,4869,2002-07-01,2003-06-30,365,11,0,0,0
3,podnebna,2004,5877,5145,2003-07-05,2004-06-30,362,1,0,0,0
3,podnebna,2005,5674,5021,2004-07-01,2005-06-23,358,6,0,0,0
3,podnebna,2006,6098,5251,2005-07-04,2006-06-16,348,9,0,0,0
3,podnebna,2007,4998,4260,2006-07-03,2007-06-30,363,9,0,0,0
3,podnebna,2008,5703,4964,2007-07-01,2008-06-22,358,0,0,0,0
3,podnebna,2009,5640,4995,2008-07-07,2009-06-30,359,1,0,0,0
3,podnebna,2010,5716,5066,2009-07-10,2010-06-30,356,4,0,0,0
3,podnebna,2011,5640,5022,2010-07-09,2011-06-30,357,10,0,0,0
3,podnebna,2012,5297,4793,2011-07-03,2012-06-30,364,7,0,0,0
3,podnebna,2013,,,,,,,,,
3,podnebna,2014,5176,4483,2013-07-01,2014-06-30,365,2,0,0,0
3,podnebna,2015,5449,4706,2014-07-01,2015-06-30,365,12,0,0,0
3,podnebna,2016,5149,4490,2015-07-01,2016-06-24,360,0,0,0,0
3,podnebna,2017,5265,4700,2016-07-06,2017-06-30,360,11,0,0,0
3,podnebna,2018,5473,4862,2017-07-01,2018-06-30,365,0,0,0,0
3,podnebna,2019,5087,4562,2018-07-03,2019-06-11,344,8,1,0,0
3,podnebna,2020,5136,4510,2019-07-11,2020-06-30,356,2,0,0,0
3,podnebna,2021,5451,4785,2020-07-09,2021-06-19,346,3,0,0,0
3,podnebna,2022,,,,,,,,,
3,samodejna,1961,,,,,,,,,
3,samodejna,1962,,,,,,,,,
3,samodejna,1963,,,,,,,,,
3,samodejna,1964,,,,,,,,,
3,samodejna,1965,,,,,,,,,
3,samodejna,1966,,,,,,,,,
3,samodejna,1967,,,,,,,,,
3,samodejna,1968,,,,,,,,,
3,samodejna,1969,,,,,,,,,
3,samodejna,1970,,,,,,,,,
3,samodejna,1971,,,,,,,,,
3,samodejna,1972,,,,,,,,,
3,samodejna,1973,,,,,,,,,
3,samodejna,1974,,,,,,,,,
3,samodejna,1975,,,,,,,,,
3,samodejna,1976,,,,,,,,,
3,samodejna,1977,,,,,,,,,
3,samodejna,1978,,,,,,,,,
3,samodejna,1979,,,,,,,,,
3,samodejna,1980,,,,,,,,,
3,samodejna,1981,,,,,,,,,
3,samodejna,1982,,,,,,,,,
3,samodejna,1983,,,,,,,,,
3,samodejna,1984,,,,,,,,,
3,samodejna,1985,,,,,,,,,
3,samodejna,1986,,,,,,,,,
3,samodejna,1987,,,,,,,,,
3,samodejna,1988,,,,,,,,,
3,samodejna,1989,,,,,,,,,
3,samodejna,1990,,,,,,,,,
3,samodejna,1991,,,,,,,,,
3,samodejna,1992,,,,,,,,,
3,samodejna,1993,,,,,,,,,
3,samodejna,1994,,,,,,,,,
3,samodejna,1995,,,,,,,,,
3,samodejna,1996,,,,,,,,,
3,samodejna,1997,,,,,,,,,
3,samodejna,1998,,,,,,,,,
3,samodejna,1999,,,,,,,,,
3,samodejna,2000,,,,,,,,,
3,samodejna,2001,,,,,,,,,
3,samodejna,2002,,,,,,,,,
3,samodejna,2003,,,,,,,,,
3,samodejna,2004,,,,,,,,,
3,samodejna,2005,,,,,,,,,
3,samodejna,2006,6044,5316,2005-07-04,2006-06-16,348,6,0,0,0
3,samodejna,2007,,,,,,,,,
3,samodejna,2008,,,,,,,,,
3,samodejna,2009,,,,,,,,,
3,samodejna,2010,,,,,,,,,
3,samodejna,2011,,,,,,,,,
3,samodejna,2012,,,,,,,,,
3,samodejna,2013,,,,,,,,,
3,samodejna,2014,,,2013-07-01,2014-06-30,365,,,,
3,samodejna,2015,,,2014-07-01,2015-06-30,365,,,,
3,samodejna,2016,,,,,,,,,
3,samodejna,2017,5291,4810,2016-07-06,2017-06-30,360,6,0,0,0
3,samodejna,2018,,,,,,,,,
3,samodejna,2019,5107,4675,2018-07-03,2019-06-10,343,8,1,0,0
3,samodejna,2020,5158,4641,2019-07-11,2020-06-30,356,2,0,0,0
3,samodejna,2021,5465,4934,2020-07-09,2021-06-17,344,3,0,0,0
3,samodejna,2022,,,,,,,,,
3,registrator,1961,,,,,,,,,
3,registrator,1962,,,,,,,,,
3,registrator,1963,,,,,,,,,
3,registrator,1964,,,,,,,,,
3,registrator,1965,,,,,,,,,
3,registrator,1966,,,,,,,,,
3,registrator,1967,,,,,,,,,
3,registrator,1968,,,,,,,,,
3,registrator,1969,,,,,,,,,
3,registrator,1970,,,,,,,,,
3,registrator,1971,,,,,,,,,
3,registrator,1972,,,,,,,,,
3,registrator,1973,,,,,,,,,
3,registrator,1974,,,,,,,,,
3,registrator,1975,,,,,,,,,
