year,additions_wind,additions_solar,additions_hydro,additions_pump_hydro,additions_nuclear,additions_thermal,retirements_thermal
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,34.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,228.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,55.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,32.39999999999998,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,1.0,0.0,0.0,0.0,84.0,-30.0
2009,0.0,3.0,39.120000000000005,0.0,0.0,0.0,0.0
2010,0.0,7.0,0.0,180.0,0.0,0.0,-30.0
2011,0.0,44.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,90.0,0.0,0.0,0.0,0.0,0.0
2013,4.0,40.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,37.0,39.120000000000005,0.0,0.0,0.0,-200.0
2015,1.0,13.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,600.0,-275.0
2017,-0.027000000000000135,13.0,45.30000000000007,0.0,0.0,0.0,0.0
2018,0.26500000000000057,8.0,0.0,0.0,0.0,53.0,0.0
2019,0.11299999999999955,10.0,0.0,0.0,0.0,0.0,0.0
2020,7.649,10.0,0.0,0.0,0.0,0.0,0.0
2021,8.0,15.0,0.0,0.0,0.0,0.0,0.0
2022,12.0,14.0,28.5,0.0,0.0,167.0,-153.0
2023,12.0,16.0,0.0,0.0,0.0,0.0,0.0
2024,12.0,14.0,0.0,0.0,0.0,0.0,0.0
2025,12.0,16.0,0.0,0.0,0.0,0.0,0.0
2026,6.900000000000006,17.55000000000001,0.0,0.0,0.0,0.0,0.0
2027,7.590000000000003,18.42750000000001,44.0,0.0,0.0,0.0,-345.0
2028,8.349000000000004,19.34887500000002,0.0,0.0,0.0,0.0,0.0
2029,9.183900000000008,20.316318749999994,0.0,0.0,0.0,0.0,0.0
2030,10.10229000000001,21.3321346875,71.0,0.0,0.0,0.0,0.0
2031,11.112519000000006,22.398741421875002,0.0,0.0,0.0,0.0,0.0
2032,12.22377090000002,23.518678492968775,0.0,0.0,0.0,0.0,0.0
2033,13.446147990000014,24.694612417617236,0.0,0.0,0.0,0.0,-600.0
2034,14.790762789000013,25.929343038498132,0.0,0.0,0.0,0.0,0.0
2035,16.269839067900023,27.225810190422976,0.0,0.0,1000.0,0.0,0.0
2036,17.896822974690025,28.58710069994413,0.0,0.0,0.0,0.0,0.0
2037,19.686505272159025,30.01645573494136,0.0,0.0,0.0,0.0,0.0
2038,21.65515579937494,31.517278521688354,0.0,0.0,0.0,0.0,0.0
2039,23.820671379312444,33.093142447772834,0.0,0.0,0.0,0.0,0.0
2040,26.202738517243688,34.74779957016142,0.0,0.0,0.0,0.0,0.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
/,,,,,,,
