year,total,energetika_ljubljana,energetika_maribor,teb,test,tetol,tet,energetika_celje,enos,m_energetika,petrol_energetika,other,total-individual,residual,target_2030
1990,6374.89039492216,,,,,,,,,,,,,,2358.709446121199
1991,5431.41390977294,,,,,,,,,,,,,,2358.709446121199
1992,5964.57329434093,,,,,,,,,,,,,,2358.709446121199
1993,5754.25303161925,,,,,,,,,,,,,,2358.709446121199
1994,5536.86203592206,,,,,,,,,,,,,,2358.709446121199
1995,5725.07600922155,,,,,,,,,,,,,,2358.709446121199
1996,5327.36425061301,,,,,,,,,,,,,,2358.709446121199
1997,5749.26551131038,,,,,,,,,,,,,,2358.709446121199
1998,5988.40704589378,,,,,,,,,,,,,,2358.709446121199
1999,5289.14098598982,,,,,,,,,,,,,,2358.709446121199
2000,5594.43709289473,,,,,,,,,,,,,,2358.709446121199
2001,6311.77853524611,,,,,,,,,,,,,,2358.709446121199
2002,6564.32111457495,,,,,,,,,,,,,,2358.709446121199
2003,6289.3752588584,,,,,,,,,,,,,,2358.709446121199
2004,6421.86849991294,,,,,,,,,,,,,,2358.709446121199
2005,6448.19823352236,51,32,28,4623,858,671,14,28,4,26,,6335.0,113.19823352236017,2358.709446121199
2006,6504.66053564326,57,22,19,4662,809,747,13,26,3,24,,6382.0,122.66053564326012,2358.709446121199
2007,6725.74702498781,46,19,57,4907,809,727,12,24,3,27,,6631.0,94.74702498780971,2358.709446121199
2008,6498.68064604158,43,20,13,4798,826,683,11,24,3,24,,6445.0,53.680646041580076,2358.709446121199
2009,6222.8668852839,53,22,13,4573,701,730,10,23,2,21,,6148.0,74.86688528390005,2358.709446121199
2010,6356.24392720327,42,23,6,4775,756,591,10,24,2,22,,6251.0,105.24392720326978,2358.709446121199
2011,6376.10070819255,42,21,11,4676,722,747,9,17,2,20,,6267.0,109.10070819254997,2358.709446121199
2012,6066.87804717149,44,20,9,4548,671,636,7,17,2,19,,5973.0,93.87804717148992,2358.709446121199
2013,5785.88456181011,37,19,5,4362,650,553,3,16,1,19,,5665.0,120.88456181011043,2358.709446121199
2014,4460.07684414878,40,7,10,3531,585,143,1,15,1,18,,4351.0,109.07684414877986,2358.709446121199
2015,4573.48211687943,37,7,9,3791,566,0,1,15,1,18,,4445.0,128.48211687942967,2358.709446121199
2016,4942.33166723279,39,10,7,4149,577,0,1,16,1,17,,4817.0,125.3316672327901,2358.709446121199
2017,4929.9359059769,42,13,11,4073,611,2,2,16,1,17,,4788.0,141.93590597690036,2358.709446121199
2018,4816.23497671696,40,13,10,3927,627,0,1,16,1,10,,4645.0,171.23497671695986,2358.709446121199
2019,4583.48533571971,57,13,16,3817,488,0,2,18,0,11,,4422.0,161.48533571970984,2358.709446121199
