year,total_production,hydro,pump,termo,Biomasa in bioplin,nuclear,solar,wind,event_tes6,event NEK2,event_greenenergy
1996,9792.5,3616.0,0.0,3997.0,,2179.5,0.0,0.0,0,0,0
1997,9956.5,3046.0,0.0,4518.0,,2392.5,0.0,0.0,0,0,0
1998,10461.5,3400.0,0.0,4668.0,,2393.5,0.0,0.0,0,0,0
1999,10213.0,3683.0,0.0,4288.0,,2242.0,0.0,0.0,0,0,0
2000,10521.5,3771.0,0.0,4476.0,,2274.5,0.0,0.0,0,0,0
2001,11074.0,3741.0,0.0,4815.0,,2518.0,0.0,0.0,0,0,0
2002,11039.5,3265.0,0.0,5120.0,,2654.5,0.0,0.0,0,0,0
2003,10413.5,2916.0,0.0,5016.0,,2481.5,0.0,0.0,0,0,0
2004,11702.0,4034.0,0.0,5062.0,,2606.0,0.0,0.0,0,0,0
2005,11343.0,3407.0,0.0,5129.0,,2807.0,0.0,0.0,0,0,0
2006,11472.0,3536.0,0.0,5291.0,,2645.0,0.0,0.0,0,0,0
2007,11329.0,3215.0,0.0,5400.0,,2714.0,0.0,0.0,0,0,0
2008,12371.0,3959.0,0.0,5425.0,,2986.0,1.0,0.0,0,0,0
2009,12645.0,4643.0,0.0,5268.0,,2730.0,4.0,0.0,0,0,0
2010,12903.5,4636.0,184.0,5380.0,,2690.5,13.0,0.0,0,0,0
2011,12193.0,3649.0,143.0,5384.0,,2951.0,66.0,0.0,0,0,0
2012,12270.0,4028.0,187.0,5271.0,,2622.0,162.0,0.0,0,0,0
2013,12892.0,4855.0,293.0,5007.0,,2518.0,215.0,4.0,0,0,0
2014,13728.5,6284.0,273.0,3880.0,,3030.5,257.0,4.0,0,0,0
2015,11783.0,4032.0,282.0,4503.0,,2686.0,274.0,6.0,0,0,0
2016,13108.5,4721.0,278.0,5121.0,,2715.5,267.0,6.0,0,0,0
2017,12684.460500000001,4085.016,271.498,5054.639,,2983.9135,283.678,5.716,0,0,0
2018,12884.935,4830.775,187.919,4860.864,,2744.954,254.402,6.021,0,0,0
2019,12660.1925,4622.091,202.329,4760.662,0.0,2766.4905,302.47,6.15,0,0,0
2020,13023.69917298087,4585.0,281.0,3925.0,428.017384,3020.0,365.0,6.0,0,0,0
2021,13040.582140688364,4610.32821687675,281.0,3894.4,452.217384,2814.624750830742,485.11,23.52,0,0,0
2022,13294.255400563134,4636.07147675152,281.0,3863.8,476.41738399999997,2814.624750830742,636.22,41.04,0,0,0
2023,13547.928660437901,4661.814736626289,281.0,3833.2,500.617384,2814.624750830742,787.3300000000002,58.55999999999999,0,0,0
2024,13801.601920312673,4687.557996501059,281.0,3802.6,524.817384,2814.624750830742,938.4400000000002,76.08,0,0,0
2025,14055.27518018744,4713.301256375828,281.0,3772.0,549.017384,2814.624750830742,1089.5500000000002,93.6,0,0,0
2026,13948.502034364688,4753.575110553076,281.0,3437.6,564.017384,2814.624750830742,1235.6230000000003,119.88,0,0,0
2027,13841.728888541935,4793.848964730323,281.0,3103.2,579.017384,2814.624750830742,1381.6960000000001,146.16,0,0,0
