year,total,enteric_fermentation,manure_management,rice_cultivation,agricultural_soils,prescribed_burning_of_savannas,field_burning_agricultural_residues,liming,urea_application,carbon_containing_fertilizers,other
1986,1935.56975152113,980.784883335844,421.202439744132,,476.572347400491,,,44.0,9.08689545739129,3.92318558326934,
1987,1946.95895097174,961.947533588966,425.628665351399,,500.28774967677,,,44.0,10.5862988781159,4.5087034764915,
1988,1910.00279882204,956.575858172773,418.052545770678,,477.484577641611,,,44.0,9.78028638144927,4.10953085552533,
1989,1871.95035462993,953.36410272351,410.573707516833,,451.99815034017,,,44.0,8.49318262434783,3.52121142506467,
1990,1859.67170839277,935.249900110513,415.835080017026,,452.373411641182,,,44.0,8.66734412898549,3.545972495065,
1991,1744.74510284718,884.969472117472,390.30445540617,,414.719167109891,,,44.0,7.65943802927536,3.09257018437033,
1992,1865.38539011735,898.20199985466,406.024288709324,,499.419102224389,,,44.0,12.6849169078261,5.05508242115067,
1993,1758.11982902371,857.014828534794,386.076916840759,,455.720901356883,,,44.0,10.9857200742029,4.321462217072,
1994,1774.83869978043,864.93119148618,384.695571208554,,465.641863801363,,,44.0,11.17534,4.39473328433333,
1995,1773.22065583272,904.252483848117,359.896991088319,,464.132413037594,,,28.66512,12.2697826086957,4.00386525,
1996,1714.11080741778,885.981413479554,341.969135563359,,448.456516729938,,,23.80356,9.7963768115942,4.10380483333333,
1997,1670.51766251529,837.197489304044,341.686472323776,,460.794119061386,,,14.8126,11.674347826087,4.352634,
1998,1709.05382511596,854.532562271265,349.387168398514,,471.642625286762,,,17.2678,11.7476811594203,4.475988,
1999,1723.57939863878,891.73922071705,323.43701096384,,473.710522827453,,,18.65072,11.6217391304348,4.420185,
2000,1809.31688097537,948.929954083096,343.118510379212,,483.893078179725,,,17.17056,11.8433333333333,4.361445,
2001,1786.84522965397,931.622711268984,340.600576394308,,481.586387200822,,,16.55588,12.0394202898551,4.4402545,
2002,1843.30320169439,960.007276563345,360.945345143479,,490.349436420753,,,14.78444,12.9672463768116,4.24945719,
2003,1753.1845886649,906.767807699305,343.290802655709,,469.618595793215,,,16.016,12.9030542666667,4.58832825,
2004,1701.60587943883,899.867719108931,326.137368929854,,447.20004312671,,,13.76804,10.7599213333333,3.87278694,
2005,1716.48948658149,915.575281618715,328.874440950999,,442.97249640511,,,13.56036,11.6517426666667,3.85516494,
2006,1716.12500005142,912.542547008407,327.083183706928,,447.787282882748,,,13.88244,11.0855763333333,3.74397012,
2007,1772.14822746543,951.838050248288,340.267862467808,,452.670228762667,,,12.52284,10.5219876666667,4.32725832,
2008,1695.05718092821,930.017735815111,323.008076296445,,419.144433353318,,,12.18052,7.40555053333333,3.30086493,
2009,1707.74423653401,915.167972859514,325.425974982944,,436.911593794882,,,12.83788,13.4805366666667,3.92027823,
2010,1677.22404493939,902.554618516867,316.145859080038,,430.68901720348,,,12.90432,11.1023,3.827930139,
2011,1659.19254552785,902.791679866695,308.511074836605,,423.109520844885,,,10.91244,9.61667226666667,4.251157713,
2012,1643.67836696858,899.003784034643,301.60259999852,,416.073156795418,,,12.05424,11.2409704,3.70361574,
2013,1629.18052356605,888.791176259805,301.163008564795,,412.846704948119,,,11.85492,10.3495333333333,4.17518046,
2014,1676.21798474605,907.999548664686,306.695372293572,,436.221304264457,,,11.10868,9.42377333333333,4.76930619,
2015,1716.24291792465,935.568863059743,317.358418140196,,439.050933844714,,,10.78,8.74368,4.74102288,
2016,1736.57148483158,951.21602322864,323.694558426337,,437.307124569931,,,10.53932,9.45706666666667,4.35739194,
2017,1702.73391593241,931.870666447357,319.187069014263,,428.609981348154,,,10.25816,8.30133333333333,4.5067057893,
2018,1702.36032510059,927.449121109064,316.567907428345,,431.987405573179,,,11.62744,10.516,4.21245099,
2019,1720.18414812786,939.672163736142,315.512871176922,,436.816856218131,,,12.98352,10.3876666666667,4.81107033,
2020,1724.82213485356,942.204541467631,311.393150588162,,440.604658694436,,,14.4738,11.7927333333333,4.35325077,
