year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,international_aviation,international_navigation,co2_emissions_from_biomass,others,lulucf
1986,20632.47421178,6839.58493151276,4123.77106257039,2051.1665810115,1585.88676589099,2611.85048639328,2029.47490879283,700.014066801073,58.52633529008,,2763.25341050708,690.725408807177,-4790.40610569079
1987,19888.0937533544,6479.0145717225,3683.34407743754,2424.90556851298,1566.62976580104,2321.06216968819,2036.87859963708,724.090330004139,59.285439864,,2715.70777672189,652.168670550939,-4804.02791542937
1988,19353.4696803489,6565.96286814827,3537.61316938379,2454.53036649571,1465.4038793207,1921.09740004308,2001.11117398686,746.303946841837,54.266566648,,2666.93880700209,661.446876128698,-4750.13681750949
1989,19128.0406559633,6672.40574559583,3327.40883190805,2484.69784697183,1410.63536529576,1838.83733707025,1964.88445919863,768.307959467586,51.129770888,,2644.39505179877,660.863110455411,-4673.42556910133
1990,18797.6477831431,6374.2561640261,3095.0793363413,2737.21454186085,1367.87628145062,1905.61520882408,1951.30178836969,773.364203504143,49.247693432,,2581.33326478222,592.940258766347,-4394.55812320074
1991,17447.8215392486,5429.9906207456,3076.26826364444,2593.35283504115,1057.01794871531,2162.97515218897,1832.54016808878,766.566804391623,21.330211168,,2450.19527735005,529.10974643269,-4747.57666549394
1992,17432.2593360153,5963.13680438857,2585.67424698911,2635.30849325366,1047.3212695661,1947.81136880116,1947.35884078839,732.752018201492,33.7519223776,,2494.40658118715,572.896294026852,-4863.68567410987
1993,17667.8157821615,5753.26029274751,2512.63642985807,3185.1274536898,874.638613785799,2266.36592500698,1838.74249923676,711.251987631346,48.1811828736,,2457.02160394513,525.792580205206,-4863.80769904112
1994,18082.3422723234,5535.27086237865,2681.00091298521,3569.71954303543,1051.18481678164,2168.59682181735,1855.13713857159,716.567326489007,53.8274152416,,2540.03494761326,504.864850264521,-5050.2548860225
1995,18863.2528575064,5724.17848593171,2630.49015474815,3988.88879973267,1056.35823991061,2353.5766473412,1855.02375457776,721.762062639723,57.5915701536,,2565.0905169571,532.974712624532,-5135.99598709505
