year,total,fuel_combustion_activities.total,fuel_combustion_activities.energy_industries,fuel_combustion_activities.manufacturing_construction,fuel_combustion_activities.transport,fuel_combustion_activities.other_sectors,fuel_combustion_activities.other,fugitive_emissions_from_fuels.total,fugitive_emissions_from_fuels.solid_fuels,fugitive_emissions_from_fuels.oil_natural_gas_and_energy_production,co2_transport_storage
1986,16471.5263675644,15878.5601239016,6842.35821754567,4348.98989693735,2052.06258669898,2593.70664873161,41.442773988,592.966243662765,550.575540618927,42.3907030438379,
1987,15685.6462668891,15119.4983463037,6481.59172695664,3876.06597733359,2425.74686845801,2304.06981183749,32.023961718,566.147920585349,521.484035215557,44.6638853697924,
1988,15076.7002972733,14502.4044696223,6568.57881704698,3539.92976224453,2455.42521111459,1906.44671749815,32.023961718,574.295827651003,517.764578940252,56.5312487107517,
1989,14920.1726391818,14346.5714623217,6675.13982782663,3329.61058400294,2485.54449472622,1824.25259404789,32.023961718,573.601176860083,514.910516682881,58.6906601772014,
1990,14646.8838653116,14135.2379601468,6376.84417966302,3097.11491719874,2738.11501314961,1891.13988841745,32.023961718,511.645905164815,461.413799699147,50.2321054656678,
1991,13735.2198043046,13258.9956010748,5432.32318146673,3077.937252272,2594.3403544487,2147.48768388934,6.907128998,476.224203229826,429.411637396572,46.8125658332536,
1992,13646.346572926,13123.2044832833,5965.75673456162,2587.11253199812,2635.82317257749,1933.13061834644,1.3814257996,523.142089642719,484.429082611078,38.7130070316409,
1993,14190.04521755,13710.2618951566,5755.77053202043,2513.92036218639,3186.84317663259,2252.34639851763,1.3814257996,479.783322393363,442.383248084782,37.400074308581,
1994,14411.6961702267,13951.0458575651,5537.7032061705,2682.47646498564,3574.07982411119,2155.40493649821,1.3814257996,460.650312661553,422.997098830892,37.6532138306607,
1995,15184.471115854,14697.1587369381,5726.6904334647,2632.3490814935,3996.01748953227,2340.72030664803,1.3814257996,487.312378915909,442.22271076568,45.0896681502296,
1996,15840.094660484,15370.6743953693,5329.13189547763,2523.27159456427,4538.02088953084,2978.86858999698,1.3814257996,469.420265114653,426.829055268789,42.5912098458641,
1997,16345.095847728,15842.7712577351,5749.26551131039,2302.39420469776,4745.38928936382,3044.34082656356,1.3814257996,502.324589992845,456.581152937622,45.7434370552237,
1998,15887.5756851579,15388.5816645811,5988.75008486598,2283.61467877445,3946.24350031267,3167.27334111057,2.7000595174,498.994020576859,453.208654884873,45.7853656919855,
1999,15211.394068594,14733.6451026951,5289.8184370831,2298.1842593332,3737.15513657717,3405.59883393888,2.8884357628,477.748965898871,430.580894161691,47.1680717371801,
