year,total,road_transporation.total,road_transporation.cars,road_transporation.light_duty_trucks,road_transporation.heavy_duty_trucks,road_transporation.buses,road_transporation.motorcycles,road_transporation.other,railways,domestic_aviation,domestic_navigation,other_transportation,international_aviation,international_navigation
1986,2052.06,1974.45,1384.57,45.61,405.53,88.07,10.11,0.00,76.99,0.61,0.01,0.00,58.58,0.00
1987,2425.75,2349.00,1687.18,45.80,452.17,96.82,9.41,0.00,76.33,0.41,0.01,0.00,59.34,0.00
1988,2455.43,2381.06,1655.68,46.32,490.19,104.97,9.07,0.00,73.76,0.59,0.01,0.00,54.32,0.00
1989,2485.54,2409.75,1712.98,48.31,477.56,97.67,8.54,0.00,74.95,0.83,0.01,0.00,51.18,0.00
1990,2738.12,2664.25,1853.33,47.78,545.65,105.61,8.03,0.00,72.77,1.08,0.01,0.00,49.29,0.00
1991,2594.34,2512.46,1741.63,49.65,525.11,95.64,7.54,0.00,81.26,0.61,0.01,0.00,21.35,0.00
1992,2635.82,2580.23,1914.60,49.44,468.90,73.25,5.24,0.00,54.61,0.97,0.01,0.00,33.78,0.00
1993,3186.84,3138.88,2300.15,62.81,591.82,88.30,5.25,0.00,46.23,1.73,0.01,0.00,48.22,0.00
1994,3574.08,3525.27,2575.12,74.21,665.43,95.49,5.29,0.00,46.76,2.03,0.01,0.00,53.88,0.00
1995,3996.02,3945.23,2797.43,90.83,803.17,106.14,5.34,0.00,48.79,1.98,0.02,0.00,57.64,0.00
1996,4538.02,4490.41,3140.56,100.44,931.99,113.34,5.51,0.00,45.38,2.21,0.02,0.00,53.28,0.00
1997,4745.39,4699.03,3154.00,121.29,1059.34,123.41,5.78,0.00,43.98,2.37,0.02,0.00,56.12,0.00
1998,3946.24,3900.33,2788.93,125.71,785.72,88.77,6.19,0.00,42.97,2.93,0.02,0.00,50.16,0.00
1999,3737.16,3692.42,2749.34,138.09,695.19,75.82,6.54,0.00,41.88,2.83,0.02,0.00,60.14,0.00
2000,3684.38,3638.89,2851.38,143.56,605.70,61.87,7.24,0.00,42.64,2.84,0.01,0.00,69.35,0.00
2001,3846.16,3802.20,2861.62,157.70,685.07,68.31,7.56,0.00,41.62,2.32,0.02,0.00,78.53,0.00
2002,3908.39,3862.25,2845.73,196.58,770.76,74.62,7.96,0.00,43.82,2.31,0.02,0.00,80.96,0.00
2003,3958.07,3914.54,2862.06,199.22,776.55,72.94,6.88,0.00,41.14,2.37,0.02,0.00,77.18,0.00
2004,4136.65,4093.02,2821.23,236.00,905.60,87.99,6.46,0.00,41.74,1.87,0.03,0.00,57.73,0.00
2005,4405.91,4361.36,2907.40,238.09,977.08,91.47,7.69,0.00,41.78,2.74,0.03,0.00,61.41,68.79
2006,4642.09,4598.45,3055.71,246.15,1108.09,88.02,9.29,0.00,41.60,2.01,0.03,0.00,71.10,94.25
2007,5245.24,5202.62,3352.60,323.05,1314.88,102.29,16.00,0.00,40.36,2.22,0.04,0.00,93.66,158.65
2008,6165.07,6123.71,3869.81,432.09,1453.67,125.50,19.31,0.00,37.10,2.08,0.05,2.14,104.04,213.96
2009,5162.67,5125.99,3409.02,370.90,1213.47,92.11,21.65,0.00,31.23,1.98,0.04,3.43,77.98,105.26
2010,5303.47,5263.59,3587.91,417.60,1202.03,97.62,22.94,0.00,33.42,1.97,0.04,4.44,73.37,60.05
2011,5654.28,5615.51,3797.57,462.59,1286.28,109.73,23.48,0.00,35.11,2.77,0.05,0.84,68.86,105.87
2012,5673.21,5636.44,3761.98,470.80,1323.53,113.53,23.70,0.00,33.27,2.30,0.05,1.16,66.39,163.82
2013,5372.46,5335.98,3563.99,442.37,1248.71,110.62,23.81,0.00,34.26,1.73,0.03,0.47,73.13,202.11
2014,5388.84,5340.17,3536.81,442.59,1269.28,118.66,24.61,0.00,44.96,1.87,0.03,1.80,72.17,186.27
2015,5359.29,5312.99,3503.17,437.78,1292.04,117.97,25.76,0.00,41.30,1.98,0.05,2.98,74.79,208.53
2016,5732.98,5693.49,3721.82,491.19,1433.62,127.84,27.51,0.00,34.60,2.03,0.04,2.83,61.11,400.39
2017,5862.78,5824.11,3754.57,500.75,1510.80,137.01,28.38,0.00,32.26,1.72,0.04,4.65,74.31,504.66
2018,5841.65,5809.41,3721.92,517.67,1533.74,127.33,28.29,0.00,29.36,2.01,0.05,0.81,102.29,734.35
2019,5631.53,5602.92,3592.56,477.00,1461.36,127.23,31.61,0.00,25.92,1.97,0.09,0.62,77.90,619.34
2020,4581.05,4559.38,2761.99,410.76,1253.77,105.13,27.72,0.00,19.10,1.58,0.09,0.91,26.18,353.84
