year,total,mineral_industry,chemical_industry,metal_industry,non_energy_products_from_fuels,electronic_industry,product_usese_as_ODS,other_product_manufacture_use,other
1986,1407.98626842323,742.959514280034,97.7084468939369,470.679600316635,8.13611493262072,,,88.502592,
1987,1421.59714817863,708.297008973547,105.892838417412,519.607374001467,8.55053278620075,,,79.249394,
1988,1491.68745868517,767.335055261036,131.245195950887,514.20259173865,8.90841973459763,,,69.996196,
1989,1436.6388289035,720.13356561232,121.03967803958,524.407737866585,9.1474893850178,,,61.910358,
1990,1392.88398277785,694.404086125529,87.5402300898382,550.89455280627,8.49603375621578,,,51.54908,
1991,1073.97702568774,584.840467846557,66.0212191556777,369.289760672203,8.42117801329945,,,45.4044,
1992,1063.73749808513,509.462504859358,45.883066211409,464.544818038861,7.35990897550376,,,36.4872,
1993,893.07086699367,413.612498108797,43.9965825151309,366.278904515608,8.31055621413484,,31.41216364,29.460162,
1994,1068.72298866294,527.185053490524,70.0225446756309,402.575592005122,8.34278897166777,,31.65428552,28.942724,
1995,1073.07055965678,542.884698924038,88.0367904270664,373.828628760072,6.71872629965435,,32.8867312459443,28.714984,
1996,1074.42685886287,563.134036545427,82.5222858420338,359.723122554941,8.33315296391021,,29.8614609565635,30.8528,
1997,1113.76697015115,578.484503064255,101.464284405292,355.253121893639,12.6720862826681,,34.4255745052929,31.4674,
1998,1092.75990361862,592.211785767839,110.76119441855,302.308345457004,16.8222840049648,,31.0120759702615,39.644218,
1999,1117.30551565698,593.591631566311,114.596107361808,315.997647402441,15.2236810591236,,31.3824822672963,46.513966,
2000,1162.43252724851,598.42847118854,113.322753385566,334.351148001171,14.140729622088,,46.1010930511427,56.088332,
2001,1219.08028312345,622.802849464545,119.820223761314,340.183540807061,23.2363801751645,,62.709920915362,50.327368,
2002,1228.33174584698,554.776024588505,112.663072604801,406.933978106992,23.7528853354403,,78.551135211238,51.65465,
2003,1297.84285764127,565.870068607453,135.537602319289,429.459513330911,18.704046135116,,99.1388932484955,49.132734,
2004,1351.17739652073,587.588062110203,125.736354707351,433.11540211413,27.8321086524916,,121.709308936559,55.19616,
2005,1426.95515487604,636.073824026292,136.52301575925,424.607647893202,24.909802648496,,145.201028648795,59.6398359,
2006,1472.74295352756,673.840549251674,139.513054052558,403.61731392627,26.5105114705877,,168.884107922298,60.377416904172,
2007,1481.11206471396,705.101177861114,137.779320551028,362.411515594023,22.2161610703965,,195.56630941459,58.037580222808,
2008,1346.96427698796,749.878269754154,96.7641491714237,210.657359285537,19.7610733248785,,224.010893091318,45.892532360648,
2009,1012.50302485508,516.875150208717,90.4036578548293,97.5608783383759,17.1094272279259,,243.588951745233,46.96495948,
2010,1015.377282934,479.391672429149,89.3397328571882,126.90465013156,14.7917962509522,,257.757997125155,47.19143414,
2011,1030.75898990289,423.810440123499,60.0956869007035,194.553797658153,16.6595032609611,,270.106375939571,65.53318602,
2012,1058.52390961977,416.818998044081,46.2372619286432,205.673784974261,20.38598418274,,294.66211527004,74.74576522,
2013,1123.33006353831,476.686177121399,55.3710476930653,204.775453634583,17.8190909160705,,315.755862251949,52.922431921248,
2014,1162.65201339708,501.385386228828,56.9157102165075,206.645216668421,23.5614417549276,,333.115475507146,41.028783021248,
2015,1145.82335625137,452.901097518057,59.8673761401708,208.433386330753,25.6351632067426,,343.498741655022,55.487591400624,
2016,1144.93824520659,431.919550142028,62.0870467491558,217.856128143177,26.1352322501852,,351.509108144619,55.431179777424,
2017,1191.23998161676,497.131155636139,64.9364244026286,222.529252706721,31.3173620709244,,339.250175536921,36.075611263424,
2018,1216.24381905353,541.112980391745,58.1485307754839,217.77074271779,33.7652654334169,,320.921886761668,44.524412973424,
2019,1227.68071388496,565.697086263856,60.3025666888,190.182725942747,32.7484540734692,,296.77804874866,81.971832167424,
2020,1152.98384648845,560.734787100642,61.9790939401457,143.846731819864,30.9889397407204,,273.407774779651,82.026519107424,
