year,total,forest_land,cropland,grassland,wetlands,settlements,other_land,harvested_wood_prducts,other
1986,-4820.76,-4758.49,255.23,-230.35,1.84,342.80,14.39,-457.00,
1987,-4847.93,-4782.25,256.66,-233.06,1.95,343.05,14.51,-459.61,
1988,-4817.95,-4818.88,258.00,-212.16,2.07,343.29,14.62,-415.72,
1989,-4748.29,-4834.58,258.85,-214.87,2.19,343.54,14.74,-328.98,
1990,-4411.96,-4770.36,258.10,-204.47,2.30,343.78,14.86,-67.01,
1991,-4776.55,-4874.27,123.06,-450.07,0.85,353.56,19.98,39.54,
1992,-4923.38,-5126.56,121.93,-382.53,0.94,354.79,20.38,76.88,
1993,-4825.71,-5096.86,122.95,-346.37,1.03,356.02,20.78,105.98,
1994,-5060.54,-5247.99,124.42,-372.63,1.11,357.25,21.18,45.38,
1995,-5236.49,-5450.88,127.17,-333.14,1.20,358.48,21.59,28.38,
1996,-5805.77,-5535.72,121.26,-765.04,-0.94,396.63,10.18,-42.77,
1997,-6007.29,-5816.93,121.33,-749.96,-0.59,394.32,10.01,24.01,
1998,-6114.01,-5853.92,122.63,-723.26,-0.25,392.01,9.84,-71.50,
1999,-6211.16,-6010.15,122.64,-693.62,0.10,389.69,9.67,-39.82,
2000,-6344.61,-6134.71,122.12,-654.47,0.45,387.37,9.50,-85.11,
2001,-6385.37,-6209.01,124.51,-628.50,0.80,385.04,9.33,-77.69,
2002,-7532.09,-7344.24,122.82,-616.08,1.16,383.01,9.16,-97.97,
2003,-7016.01,-7102.02,138.55,-430.70,5.59,474.34,17.27,-128.98,
2004,-7349.01,-7368.12,141.21,-464.83,6.00,473.54,17.49,-164.13,
2005,-7377.67,-7368.91,144.17,-474.92,6.40,472.74,17.70,-184.59,
2006,-7270.14,-7228.25,144.40,-473.97,6.81,471.96,17.92,-218.65,
2007,-7714.29,-7405.45,128.57,-512.25,24.07,331.55,20.71,-310.86,
2008,-7469.60,-7259.26,130.88,-490.38,24.59,322.92,21.02,-228.47,
2009,-7392.54,-7245.97,133.67,-467.25,25.10,314.28,21.34,-182.54,
2010,-7336.43,-7256.17,128.43,-441.17,25.62,305.65,21.65,-128.97,
2011,-7214.15,-7225.54,134.28,-400.02,26.14,295.48,21.75,-74.55,
2012,-7071.16,-7134.46,140.15,-354.72,26.66,285.32,21.86,-64.02,
2013,-5551.78,-5441.99,160.58,-446.57,2.16,184.96,6.82,-25.38,
2014,475.43,678.78,168.63,-442.05,2.40,167.00,6.26,-112.83,
2015,589.82,811.30,171.80,-428.19,2.59,148.84,5.70,-129.04,
2016,779.01,972.57,173.04,-413.79,2.49,134.54,5.52,-101.84,
2017,923.92,1088.38,176.00,-388.65,2.39,120.04,5.34,-85.75,
2018,975.64,1186.65,178.41,-382.32,2.30,105.55,5.16,-125.92,
2019,-101.45,234.97,176.38,-363.71,2.20,91.12,4.98,-252.87,
