year,international_bunkers.total,international_bunkers.aviation,international_bunkers.navigation,multilateral_operations,co2_emissions_from_biomass,co2_captured,longerim_storage_waste_disposal,indirect_n20,indirect_co2
1986,58.57873311122,58.57873311122,,,2763.25341050708,,771.441126393317,,
1987,59.338517301,59.338517301,,,2715.70777672189,,845.193798472615,,
1988,54.315150757,54.315150757,,,2666.93880700209,,920.072276156415,,
1989,51.175546667,51.175546667,,,2644.39505179877,,1004.87554772299,,
1990,49.291784213,49.291784213,,,2581.33326478222,,1083.54771704834,,
1991,21.349307812,21.349307812,,,2450.19527735005,,1143.04146707768,,
1992,33.7821400084,33.7821400084,,,2494.40658118715,,1207.43948609049,,
1993,48.2243188224,48.2243188224,,,2457.02160394513,,1273.92027391764,,
1994,53.8756061844,53.8756061844,,,2540.03494761326,,1350.33284676502,,
1995,57.6431310924,57.6431310924,,,2565.0905169571,,1458.64328321385,,
1996,53.2790814073,53.2790814073,,,2615.69201462656,,1574.47009425563,,
1997,56.12356271284,56.12356271284,,0.1883762454,2713.25831028084,,1685.29720438008,,
1998,50.15517533775,50.15517533775,,0.2511683272,2774.77640841607,,1803.45672245235,,
1999,60.13911634395,60.13911634395,,0.3767524908,2525.28310648455,,1923.38360086985,,
2000,69.3538543481,69.3538543481,,0.5023366544,2580.66042365946,,2036.75348457766,,
2001,78.5266786376485,78.5266786376485,,0.5651287362,3202.2607414434,,2143.68985626815,,
2002,80.9552565893862,80.9552565893862,,0.5651287362,2687.73422722914,,2268.71869958753,,
2003,77.1785326414025,77.1785326414025,,0.627920818,2944.88815814145,,2384.76995513721,,
2004,57.7337086703965,57.7337086703965,,0.627920818,2724.914234781,,2483.89631870421,,
2005,130.196366941787,61.4058869417873,68.79048,0.4395445726,3319.0943153808,,2587.17950425996,,
2006,165.346104953252,71.1000205132517,94.24608444,0.4395445726,2921.17887529815,,2697.56052363487,,
2007,252.316835457314,93.6625372773136,158.65429818,0.4395445726,3228.08121508194,,2803.40756452965,,
2008,318.009357650274,104.044677409852,213.964680240421,0.4537694236233,3420.87840859194,,2909.71823552534,,
2009,183.237619893849,77.9782965496646,105.259323344184,0.41771151458878,3183.20659478662,,2999.41448615533,,
2010,133.419681138551,73.3694362356468,60.050244902904,0.37833561606804,3307.97862729866,,3062.72689240405,,
2011,174.727573207079,68.8590244870792,105.86854872,0.45391406267334,3281.2197048102,,3124.03472774058,,
2012,230.211463764264,66.3871670929608,163.824296671303,0.169530596031,3220.96830268737,,3168.24449802338,,
2013,275.247428470711,73.1347445507111,202.11268392,0.43791594894064,3368.40041571468,,3200.03161908775,,
2014,258.44551907618,72.1717934406631,186.273725635517,0.54477843345693,2952.33601487033,,3217.74275331263,,
2015,283.315836033763,74.7868764337632,208.5289596,0.51270362710518,3206.9705271487,,3246.54247628981,,
2016,461.490713328372,61.105486482852,400.38522684552,0.51244630515299,3181.36449660282,,3248.87958231161,,
2017,578.965418478813,74.3092955576129,504.6561229212,0.57034989780167,3094.10607767333,,3248.93813650951,,
2018,836.646607079902,102.292677860301,734.3539292196,0.5524761317173,2955.38038140132,,3248.94021565581,,
2019,697.23590770586,77.8987358424199,619.33717186344,0.61100149155899,2915.88481944698,,3248.94221224491,,
2020,380.01609807976,26.1809512926401,353.83514678712,0.43599995958239,2856.90128348504,,3248.97550392129,,
