year,total,solid_waste_disposal,biological_treatment_solid_waste,incineration_open_burning_waste,waste_water_treatment_discharge,other
1986,633.241578209943,292.373413188688,,2.00300081202,338.865164209236,
1987,654.602945665971,314.003535385861,,2.00300081202,338.596409468091,
1988,674.344932590198,335.41890637372,,2.00300081202,336.923025404458,
1989,693.999308132011,355.290362856712,,2.00300081202,336.705944463279,
1990,698.829863623331,372.929966057137,,2.00300081202,323.896896754174,
1991,692.268778643699,379.534900384013,,2.00300081202,310.730877447666,
1992,660.264321462379,369.182286254524,,2.00300081202,289.079034395835,
1993,641.93657317965,361.997593858339,,2.00300081202,277.935978509291,
1994,646.898603577882,357.140465640624,,1.165306786848,288.592831150409,
1995,651.895111387336,352.950719743948,,0.658655481744,298.285736161644,
1996,658.448780452461,373.191549630001,,0.956033516412,284.301197306048,
1997,696.549452063309,405.511213920032,,0.251731188684,290.786506954593,
1998,728.02919073083,429.05362855471,,0.89263040218,298.08293177394,
1999,750.722339035233,452.967315494426,,2.562583218948,295.19244032186,
2000,778.193294844222,474.922847400566,,3.135958051788,300.134489391868,
2001,792.721554494298,486.714224735572,,3.01925295252,302.988076806206,
2002,786.707907952829,487.845170183828,5.41012894976,2.474805293768,290.977803525472,
2003,800.908436839475,495.710887813462,5.45484610048,3.577700386456,296.165002539077,
2004,801.516523558223,501.590695395699,4.00785321088,3.40521388536402,292.51276106628,
2005,766.458612249632,487.147102825169,2.56086032128,3.2956336034209,273.455015499762,
2006,731.093561746278,453.843540633149,1.9788065152,4.0099765866083,271.26123801132,
2007,677.402627532189,416.836732528618,2.54990816896,4.93983894181428,253.076147892797,
2008,609.730350355301,354.78270852255,3.12100982272,5.19403565149978,246.632596358531,
2009,553.874241713036,304.110383013718,3.927130496,6.42129663716708,239.415431566151,
2010,543.923909159286,298.949179877669,4.57462690048,7.19794221987164,233.202160161265,
2011,549.907226039611,309.4018470234,8.53528235264,7.25485741251544,224.715239251055,
2012,535.146803679464,303.656307508168,8.40455838464,7.5567264136665,215.529211372989,
2013,516.554793612678,285.05453712136,11.3572019456,17.0939755048916,203.049079040826,
2014,487.971457010609,250.598491297386,12.074116096,20.3309081777654,204.967941439458,
2015,496.11494798814,255.511109883871,12.41227772416,27.3730934806371,200.818466899471,
2016,491.589704364695,271.511928790576,12.75345295872,23.5873289197119,183.736993695688,
2017,480.188196271967,261.254319661832,16.7849472,27.4996621399784,174.649267270156,
2018,443.317912229194,234.010269815776,18.24595456,20.6936618935126,170.368025959906,
2019,435.155673548808,225.185328441611,18.71183015168,20.5691372034113,170.689377752105,
2020,414.696852452081,205.904105618094,19.40371456,19.6093973132891,169.779634960698,
