year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,16903.66,4518.06,1663.84,5724.49,1207.28,1196.35,1737.51,464.71,391.42,-5642.38
2021,16819.73,4492.23,1664.27,5752.22,1194.94,1143.44,1737.77,442.83,392.02,-5626.91
2022,16735.81,4466.41,1664.70,5779.95,1182.61,1090.54,1738.03,420.96,392.61,-5611.44
2023,16651.89,4440.58,1665.13,5807.67,1170.28,1037.64,1738.29,399.09,393.21,-5595.97
2024,16567.96,4414.76,1665.56,5835.40,1157.94,984.73,1738.55,377.22,393.80,-5580.50
2025,16484.04,4388.93,1665.99,5863.13,1145.61,931.83,1738.80,355.35,394.40,-5565.03
2026,16156.81,4199.71,1654.24,5824.92,1129.71,891.35,1739.36,336.66,380.87,-5727.86
2027,15829.59,4010.50,1642.49,5786.70,1113.81,850.86,1739.92,317.97,367.34,-5890.69
2028,15502.36,3821.28,1630.73,5748.48,1097.91,810.38,1740.48,299.28,353.81,-6053.51
2029,15175.13,3632.07,1618.98,5710.26,1082.01,769.90,1741.03,280.59,340.29,-6216.34
2030,14847.91,3442.85,1607.23,5672.04,1066.11,729.42,1741.59,261.91,326.76,-6379.17
2031,14117.74,2941.64,1593.37,5510.25,1054.96,694.98,1740.37,253.59,328.57,-6095.53
2032,13387.56,2440.42,1579.51,5348.46,1043.81,660.54,1739.15,245.28,330.39,-5811.90
2033,12657.39,1939.21,1565.65,5186.67,1032.66,626.11,1737.93,236.97,332.20,-5528.26
2034,11927.22,1438.00,1551.78,5024.88,1021.51,591.67,1736.71,228.65,334.01,-5244.63
2035,11197.05,936.78,1537.92,4863.09,1010.36,557.23,1735.49,220.34,335.82,-4961.00
2036,10783.60,905.31,1495.16,4671.46,902.87,533.80,1734.52,214.17,326.33,-4794.71
2037,10370.16,873.83,1452.40,4479.83,795.37,510.36,1733.55,207.99,316.83,-4628.42
2038,9956.71,842.35,1409.64,4288.20,687.87,486.93,1732.58,201.82,307.34,-4462.13
2039,9543.27,810.87,1366.88,4096.57,580.37,463.49,1731.61,195.64,297.84,-4295.84
2040,9129.82,779.40,1324.12,3904.94,472.87,440.06,1730.64,189.47,288.35,-4129.55
2041,8846.13,764.96,1293.84,3684.66,472.23,421.65,1729.83,184.76,294.21,-3809.07
2042,8562.44,750.53,1263.56,3464.38,471.59,403.25,1729.02,180.05,300.07,-3488.58
2043,8278.75,736.10,1233.28,3244.11,470.96,384.84,1728.21,175.34,305.93,-3168.10
2044,7995.06,721.66,1203.00,3023.83,470.32,366.44,1727.40,170.63,311.79,-2847.62
2045,7711.37,707.23,1172.72,2803.55,469.69,348.03,1726.59,165.92,317.65,-2527.13
2046,7366.49,669.20,1082.35,2606.68,470.01,333.49,1725.98,162.36,316.42,-2493.44
2047,7021.61,631.17,991.99,2409.81,470.34,318.95,1725.38,158.79,315.18,-2459.74
2048,6676.73,593.14,901.63,2212.93,470.67,304.41,1724.78,155.22,313.95,-2426.04
2049,6331.85,555.11,811.27,2016.06,471.00,289.87,1724.18,151.65,312.72,-2392.34
2050,5986.97,517.08,720.90,1819.19,471.32,275.33,1723.58,148.09,311.48,-2358.65
