year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,16903.62,4518.06,1663.86,5724.49,1207.28,1196.35,1737.51,464.71,391.37,-5642.38
2021,16819.67,4492.23,1664.29,5752.22,1194.94,1143.44,1737.77,442.83,391.94,-5626.91
2022,16735.72,4466.41,1664.72,5779.95,1182.61,1090.54,1738.03,420.96,392.50,-5611.44
2023,16651.77,4440.58,1665.15,5807.67,1170.28,1037.64,1738.29,399.09,393.07,-5595.97
2024,16567.82,4414.76,1665.58,5835.40,1157.94,984.73,1738.55,377.22,393.64,-5580.50
2025,16483.86,4388.93,1666.01,5863.13,1145.61,931.83,1738.80,355.35,394.21,-5565.03
2026,16156.59,4199.71,1654.26,5824.92,1129.71,891.35,1739.36,336.66,380.63,-5727.86
2027,15829.32,4010.50,1642.50,5786.70,1113.81,850.86,1739.92,317.97,367.06,-5890.69
2028,15502.05,3821.28,1630.75,5748.48,1097.91,810.38,1740.48,299.28,353.49,-6053.51
2029,15174.78,3632.07,1619.00,5710.26,1082.01,769.90,1741.03,280.59,339.91,-6216.34
2030,14847.51,3442.85,1607.25,5672.04,1066.11,729.42,1741.59,261.91,326.34,-6379.17
2031,14251.09,3072.97,1593.40,5510.25,1054.96,694.98,1740.37,253.59,330.56,-6095.53
2032,13654.66,2703.08,1579.55,5348.46,1043.81,660.54,1739.15,245.28,334.78,-5811.90
2033,13058.24,2333.20,1565.71,5186.67,1032.66,626.11,1737.93,236.97,339.00,-5528.26
2034,12461.82,1963.32,1551.86,5024.88,1021.51,591.67,1736.71,228.65,343.21,-5244.63
2035,11865.40,1593.43,1538.02,4863.09,1010.36,557.23,1735.49,220.34,347.43,-4961.00
2036,11461.94,1568.73,1495.25,4671.46,902.87,533.80,1734.52,214.17,341.15,-4794.71
2037,11058.47,1544.03,1452.49,4479.83,795.37,510.36,1733.55,207.99,334.86,-4628.42
2038,10655.01,1519.32,1409.72,4288.20,687.87,486.93,1732.58,201.82,328.58,-4462.13
2039,10251.55,1494.62,1366.96,4096.57,580.37,463.49,1731.61,195.64,322.30,-4295.84
2040,9848.09,1469.92,1324.19,3904.94,472.87,440.06,1730.64,189.47,316.01,-4129.55
2041,9668.49,1558.85,1293.89,3684.66,472.23,421.65,1729.83,184.76,322.62,-3809.07
2042,9488.90,1647.79,1263.60,3464.38,471.59,403.25,1729.02,180.05,329.22,-3488.58
2043,9309.30,1736.72,1233.30,3244.11,470.96,384.84,1728.21,175.34,335.83,-3168.10
2044,9129.71,1825.66,1203.00,3023.83,470.32,366.44,1727.40,170.63,342.43,-2847.62
2045,8950.11,1914.59,1172.70,2803.55,469.69,348.03,1726.59,165.92,349.04,-2527.13
2046,8489.54,1760.46,1082.34,2606.68,470.01,333.49,1725.98,162.36,348.22,-2493.44
2047,8028.97,1606.32,991.98,2409.81,470.34,318.95,1725.38,158.79,347.40,-2459.74
2048,7568.40,1452.18,901.62,2212.93,470.67,304.41,1724.78,155.22,346.59,-2426.04
2049,7107.83,1298.04,811.26,2016.06,471.00,289.87,1724.18,151.65,345.77,-2392.34
2050,6647.27,1143.90,720.90,1819.19,471.32,275.33,1723.58,148.09,344.96,-2358.65
