year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,16703.84,4435.02,1601.60,5699.63,1207.28,1182.34,1729.79,464.71,383.47,-3695.87
2021,16516.37,4385.13,1580.11,5684.35,1194.94,1121.23,1726.17,442.83,381.61,-3616.33
2022,16328.90,4335.23,1558.62,5669.07,1182.61,1060.13,1722.54,420.96,379.74,-3536.78
2023,16141.43,4285.33,1537.13,5653.79,1170.28,999.02,1718.92,399.09,377.88,-3457.24
2024,15953.96,4235.44,1515.64,5638.51,1157.94,937.91,1715.29,377.22,376.01,-3377.69
2025,15766.49,4185.54,1494.15,5623.22,1145.61,876.81,1711.67,355.35,374.15,-3298.14
2026,15229.20,3937.09,1446.16,5491.30,1129.71,824.59,1708.27,336.66,355.42,-3284.81
2027,14691.91,3688.65,1398.17,5359.37,1113.81,772.37,1704.88,317.97,336.69,-3271.48
2028,14154.62,3440.20,1350.19,5227.45,1097.91,720.15,1701.49,299.28,317.96,-3258.15
2029,13617.34,3191.75,1302.20,5095.52,1082.01,667.93,1698.09,280.59,299.23,-3244.81
2030,13080.05,2943.31,1254.21,4963.60,1066.11,615.71,1694.70,261.91,280.50,-3231.48
2031,12316.27,2520.88,1232.36,4706.53,1054.96,580.55,1678.39,253.59,289.01,-3170.65
2032,11552.50,2098.45,1210.50,4449.47,1043.81,545.38,1662.09,245.28,297.51,-3109.82
2033,10788.72,1676.02,1188.65,4192.41,1032.66,510.22,1645.78,236.97,306.01,-3049.00
2034,10024.95,1253.60,1166.79,3935.34,1021.51,475.05,1629.48,228.65,314.51,-2988.17
2035,9261.17,831.17,1144.94,3678.28,1010.36,439.89,1613.18,220.34,323.01,-2927.34
2036,8668.91,800.93,1097.57,3322.37,902.87,412.15,1603.97,214.17,314.89,-2965.52
2037,8076.65,770.70,1050.20,2966.46,795.37,384.42,1594.76,207.99,306.76,-3003.70
2038,7484.39,740.46,1002.83,2610.54,687.87,356.68,1585.55,201.82,298.63,-3041.88
2039,6892.13,710.23,955.47,2254.63,580.37,328.95,1576.35,195.64,290.51,-3080.06
2040,6299.87,679.99,908.10,1898.72,472.87,301.21,1567.14,189.47,282.38,-3118.24
2041,5899.46,647.43,831.06,1658.70,472.23,274.50,1543.93,184.76,286.85,-3105.64
2042,5499.05,614.87,754.03,1418.68,471.59,247.80,1520.71,180.05,291.32,-3093.05
2043,5098.64,582.32,676.99,1178.66,470.96,221.09,1497.50,175.34,295.78,-3080.46
2044,4698.23,549.76,599.96,938.63,470.32,194.39,1474.28,170.63,300.25,-3067.86
2045,4297.81,517.20,522.92,698.61,469.69,167.68,1451.07,165.92,304.72,-3055.27
2046,3889.08,418.78,431.35,567.98,470.01,154.47,1428.30,162.36,255.82,-3148.95
2047,3480.34,320.36,339.79,437.35,470.34,141.26,1405.53,158.79,206.93,-3242.64
2048,3071.61,221.94,248.22,306.72,470.67,128.04,1382.77,155.22,158.03,-3336.32
2049,2662.87,123.52,156.65,176.09,471.00,114.83,1360.00,151.65,109.13,-3430.00
2050,2254.14,25.10,65.08,45.46,471.32,101.62,1337.23,148.09,60.24,-3523.68
