year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,16703.84,4435.02,1601.60,5699.63,1207.28,1182.34,1729.79,464.71,383.47,-3695.87
2021,16516.37,4385.13,1580.11,5684.35,1194.94,1121.23,1726.17,442.83,381.61,-3616.33
2022,16328.90,4335.23,1558.62,5669.07,1182.61,1060.13,1722.54,420.96,379.74,-3536.78
2023,16141.43,4285.33,1537.13,5653.79,1170.28,999.02,1718.92,399.09,377.88,-3457.24
2024,15953.96,4235.44,1515.64,5638.51,1157.94,937.91,1715.29,377.22,376.01,-3377.69
2025,15766.49,4185.54,1494.15,5623.22,1145.61,876.81,1711.67,355.35,374.15,-3298.14
2026,15229.20,3937.09,1446.16,5491.30,1129.71,824.59,1708.27,336.66,355.42,-3284.81
2027,14691.91,3688.65,1398.17,5359.37,1113.81,772.37,1704.88,317.97,336.69,-3271.48
2028,14154.62,3440.20,1350.19,5227.45,1097.91,720.15,1701.49,299.28,317.96,-3258.15
2029,13617.34,3191.75,1302.20,5095.52,1082.01,667.93,1698.09,280.59,299.23,-3244.81
2030,13080.05,2943.31,1254.21,4963.60,1066.11,615.71,1694.70,261.91,280.50,-3231.48
2031,12407.95,2616.13,1232.36,4706.53,1054.96,580.55,1678.39,253.59,285.42,-3170.65
2032,11735.84,2288.96,1210.51,4449.47,1043.81,545.38,1662.09,245.28,290.34,-3109.82
2033,11063.74,1961.78,1188.66,4192.41,1032.66,510.22,1645.78,236.97,295.26,-3049.00
2034,10391.64,1634.61,1166.81,3935.34,1021.51,475.05,1629.48,228.65,300.17,-2988.17
2035,9719.54,1307.43,1144.96,3678.28,1010.36,439.89,1613.18,220.34,305.09,-2927.34
2036,9132.00,1275.07,1097.59,3322.37,902.87,412.15,1603.97,214.17,303.82,-2965.52
2037,8544.46,1242.70,1050.22,2966.46,795.37,384.42,1594.76,207.99,302.55,-3003.70
2038,7956.92,1210.34,1002.85,2610.54,687.87,356.68,1585.55,201.82,301.27,-3041.88
2039,7369.38,1177.97,955.47,2254.63,580.37,328.95,1576.35,195.64,300.00,-3080.06
2040,6781.84,1145.61,908.10,1898.72,472.87,301.21,1567.14,189.47,298.73,-3118.24
2041,6388.24,1124.42,831.05,1658.70,472.23,274.50,1543.93,184.76,298.65,-3105.64
2042,5994.63,1103.24,754.00,1418.68,471.59,247.80,1520.71,180.05,298.56,-3093.05
2043,5601.02,1082.05,676.95,1178.66,470.96,221.09,1497.50,175.34,298.48,-3080.46
2044,5207.42,1060.87,599.90,938.63,470.32,194.39,1474.28,170.63,298.39,-3067.86
2045,4813.81,1039.69,522.85,698.61,469.69,167.68,1451.07,165.92,298.31,-3055.27
2046,4309.53,836.92,431.29,567.98,470.01,154.47,1428.30,162.36,258.20,-3148.95
2047,3805.25,634.15,339.74,437.35,470.34,141.26,1405.53,158.79,218.09,-3242.64
2048,3300.97,431.38,248.19,306.72,470.67,128.04,1382.77,155.22,177.99,-3336.32
2049,2796.69,228.61,156.63,176.09,471.00,114.83,1360.00,151.65,137.88,-3430.00
2050,2292.41,25.84,65.08,45.46,471.32,101.62,1337.23,148.09,97.77,-3523.68
