year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,20634.61,6207.59,2037.80,6214.51,1426.82,1452.37,1814.50,1017.87,463.15,
2021,20778.65,6211.71,2055.51,6309.19,1447.59,1433.24,1819.56,1038.48,463.39,
2022,20922.70,6215.83,2073.22,6403.87,1468.35,1414.11,1824.61,1059.09,463.63,
2023,21066.75,6219.95,2090.92,6498.55,1489.11,1394.98,1829.67,1079.70,463.87,
2024,21210.79,6224.07,2108.63,6593.23,1509.88,1375.85,1834.72,1100.31,464.11,
2025,21354.84,6228.19,2126.34,6687.91,1530.64,1356.72,1839.78,1120.91,464.35,
2026,21486.22,6218.10,2134.03,6794.24,1541.70,1355.85,1844.83,1133.01,464.46,
2027,21617.61,6208.01,2141.73,6900.56,1552.77,1354.98,1849.89,1145.10,464.57,
2028,21749.00,6197.92,2149.42,7006.89,1563.84,1354.11,1854.94,1157.20,464.69,
2029,21880.39,6187.83,2157.12,7113.22,1574.90,1353.24,1860.00,1169.29,464.80,
2030,22011.78,6177.74,2164.81,7219.55,1585.97,1352.37,1865.06,1181.38,464.91,
2031,22130.19,6172.68,2178.83,7322.71,1590.69,1343.23,1868.10,1188.90,465.05,
2032,22248.61,6167.63,2192.86,7425.87,1595.40,1334.09,1871.15,1196.42,465.18,
2033,22367.02,6162.57,2206.88,7529.03,1600.12,1324.96,1874.20,1203.94,465.32,
2034,22485.44,6157.52,2220.90,7632.20,1604.84,1315.82,1877.25,1211.45,465.46,
2035,22603.85,6152.46,2234.92,7735.36,1609.56,1306.68,1880.30,1218.97,465.60,
2036,22792.15,6148.56,2249.98,7900.71,1616.38,1303.63,1883.34,1223.78,465.77,
2037,22980.46,6144.67,2265.03,8066.05,1623.20,1300.58,1886.39,1228.58,465.95,
2038,23168.76,6140.77,2280.08,8231.40,1630.02,1297.52,1889.44,1233.39,466.13,
2039,23357.06,6136.87,2295.13,8396.75,1636.84,1294.47,1892.49,1238.20,466.31,
2040,23545.36,6132.97,2310.19,8562.10,1643.67,1291.42,1895.54,1243.00,466.49,
2041,23584.99,6130.51,2324.86,8583.75,1648.80,1288.64,1895.54,1246.23,466.66,
2042,23624.61,6128.05,2339.53,8605.40,1653.94,1285.86,1895.54,1249.45,466.84,
2043,23664.24,6125.59,2354.20,8627.05,1659.08,1283.08,1895.54,1252.67,467.02,
2044,23703.86,6123.13,2368.87,8648.71,1664.21,1280.30,1895.54,1255.90,467.20,
2045,23743.48,6120.68,2383.55,8670.36,1669.35,1277.52,1895.54,1259.12,467.38,
2046,23724.02,6118.64,2397.83,8637.89,1671.83,1272.95,1895.54,1261.76,467.57,
2047,23704.55,6116.61,2412.12,8605.43,1674.30,1268.39,1895.54,1264.40,467.76,
2048,23685.08,6114.58,2426.41,8572.97,1676.78,1263.82,1895.54,1267.04,467.94,
2049,23665.62,6112.54,2440.70,8540.50,1679.26,1259.26,1895.54,1269.68,468.13,
2050,23646.15,6110.51,2454.99,8508.04,1681.74,1254.69,1895.54,1272.32,468.32,
