year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,17129.40,4602.47,1666.18,5780.05,1207.28,1263.15,1746.78,464.71,398.79,-4863.75
2021,17095.70,4573.22,1672.87,5852.14,1194.94,1208.68,1751.72,442.83,399.29,-4772.04
2022,17062.01,4543.97,1679.57,5924.23,1182.61,1154.22,1756.66,420.96,399.79,-4680.33
2023,17028.32,4514.71,1686.26,5996.32,1170.28,1099.76,1761.61,399.09,400.30,-4588.62
2024,16994.62,4485.46,1692.95,6068.41,1157.94,1045.29,1766.55,377.22,400.80,-4496.91
2025,16960.93,4456.20,1699.65,6140.50,1145.61,990.83,1771.49,355.35,401.31,-4405.21
2026,16943.85,4482.64,1689.71,6183.59,1131.04,948.55,1776.43,336.66,395.22,-4683.19
2027,16926.76,4509.09,1679.76,6226.69,1116.47,906.28,1781.37,317.97,389.14,-4961.18
2028,16909.68,4535.53,1669.82,6269.78,1101.90,864.00,1786.31,299.28,383.05,-5239.17
2029,16892.60,4561.97,1659.88,6312.88,1087.33,821.72,1791.25,280.59,376.97,-5517.16
2030,16875.51,4588.41,1649.94,6355.98,1072.76,779.45,1796.19,261.91,370.88,-5795.14
2031,16860.54,4621.47,1660.99,6338.28,1062.45,750.68,1799.14,253.59,373.94,-5350.65
2032,16845.57,4654.54,1672.05,6320.59,1052.13,721.91,1802.08,245.28,376.99,-4906.15
2033,16830.60,4687.60,1683.10,6302.90,1041.82,693.15,1805.02,236.97,380.04,-4461.66
2034,16815.63,4720.66,1694.15,6285.20,1031.51,664.38,1807.97,228.65,383.10,-4017.16
2035,16800.65,4753.73,1705.21,6267.51,1021.19,635.62,1810.91,220.34,386.15,-3572.66
2036,16644.37,4681.79,1715.96,6213.04,1016.82,617.30,1813.85,214.17,371.45,-3345.64
2037,16488.09,4609.85,1726.71,6158.57,1012.45,598.98,1816.79,207.99,356.75,-3118.61
2038,16331.81,4537.91,1737.46,6104.09,1008.08,580.67,1819.73,201.82,342.06,-2891.58
2039,16175.54,4465.97,1748.21,6049.62,1003.71,562.35,1822.67,195.64,327.36,-2664.56
2040,16019.26,4394.03,1758.96,5995.15,999.34,544.04,1825.61,189.47,312.66,-2437.53
2041,15992.61,4429.89,1769.35,5935.28,1000.22,531.25,1828.47,184.76,313.40,-2024.78
2042,15965.96,4465.74,1779.73,5875.41,1001.09,518.46,1831.34,180.05,314.14,-1612.04
2043,15939.31,4501.60,1790.11,5815.54,1001.97,505.67,1834.20,175.34,314.87,-1199.29
2044,15912.67,4537.45,1800.50,5755.68,1002.85,492.88,1837.07,170.63,315.61,-786.54
2045,15886.02,4573.31,1810.88,5695.81,1003.73,480.09,1839.93,165.92,316.34,-373.79
2046,15847.67,4587.69,1820.21,5643.68,1004.61,470.42,1842.79,162.36,315.91,-458.12
2047,15809.32,4602.07,1829.54,5591.55,1005.50,460.75,1845.65,158.79,315.48,-542.46
2048,15770.97,4616.45,1838.86,5539.42,1006.39,451.08,1848.50,155.22,315.04,-626.79
2049,15732.63,4630.84,1848.19,5487.30,1007.27,441.41,1851.36,151.65,314.61,-711.12
2050,15694.28,4645.22,1857.52,5435.17,1008.16,431.74,1854.22,148.09,314.17,-795.46
