Day_of_year,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,266.0118400378105,275.64579499073517,264.8853830190805,269.7898183969351,268.50745489658453,267.7917112692808,270.33929678109973,267.1382501064203,264.4025667630709,275.9319520607973,269.49652099609375,271.08521133814105,274.1650899251302,275.0053405761719,270.59720239883814,269.32122724484174,273.7001702724359,273.4158466045673,273.7038793319311,277.62450545873395,275.34290176782855,271.64200689853766,278.85284110827325,272.2083466358674,268.83612138797076,271.9156940166767,272.84562722230567,273.9803099020933,270.70789982722357,260.6966842260116,270.1966310158754,269.5940379607372,273.1895564152644,270.2237814878806,272.81180513822113,274.37720352564105,274.03121869991986,273.84149874173676,272.38446044921875,275.1727099296374,269.85372064052484,271.4039001464844,277.97033143654846,270.6496887207031,276.00506826547473,265.5695589505709,269.65275143354364,276.5966585599459,275.8136455829327,272.79251255133215,270.5872802734375,276.52356583032855,271.1946536333133,267.28240888546674,275.7403329702524,274.88372489733575,271.85971304086536,266.36925721779846,278.11303163186096,272.9844892452925,267.3631341396234,269.59193146534454,268.3407459748097,273.51672989282855,274.8223626552484,273.6135543431991,274.17451907426886,279.5544840494792,270.5030846228966,270.53765790890424,278.0374348958333,270.95638881585535,273.6869084284856,273.27560346554486,276.5267842610677,266.7860850798778,271.34490184294873,270.56247182992786,278.1641548352364,274.8897814628405,273.44896913186096,274.9446364182692,277.12323076297076,282.1368627303686
2,261.626707419371,271.8247359838241,271.3490725786258,272.0135169396034,270.65135544996997,267.16424169295874,269.4205885667067,266.2119391025641,266.9185305864383,278.9544912484976,269.78791769956933,274.70465087890625,273.5339629344451,274.87695860251404,268.09925646659656,267.6790881034655,272.585452348758,275.13690185546875,272.6063459347456,275.33661201672675,276.7390473194611,273.6656901041667,276.8478252704327,271.1532381497897,269.12476211939105,275.00089752979767,275.9090850047576,273.8804000463241,269.4737251477364,264.0920112805489,269.8580690041567,265.8738716321114,272.7339313213642,272.18018360627,273.0965537046775,275.6509673289764,277.0936310596955,275.7634989420573,273.3959108010317,263.5279587965745,268.9900684845753,271.87859324919873,276.69646903796075,272.294681646885,277.11229138496594,265.59991846329126,270.5467818822616,275.9806534204728,276.3075498923277,273.2438111916567,270.5055487217047,274.7047134790665,273.68708370893427,263.8085374098558,272.9838421161358,272.69620298727966,271.9843976925581,268.31417768429486,279.1043427296174,274.19435158754004,270.9014235276442,273.7120361328125,270.72675264798676,276.8311947553586,272.2045632386819,274.5538603953826,274.3106423402444,275.71683913010816,270.27561833308295,269.8585541553986,275.3593343098958,271.3842030060597,277.3032422188001,274.5052944085537,277.334223820613,272.54090529221753,270.8633258526142,272.81122139172675,275.44500654171674,274.007321871244,273.07521565755206,276.6020946013622,276.5559371556991,281.5872333233173
3,260.9906522310697,270.713865622496,271.4681177383814,270.6476307404347,272.768310546875,264.4221895658053,267.7376200358073,266.46565676958136,273.00154387645233,278.87626687074317,272.14444047976764,276.10417996920074,273.68872618063904,273.3677900265425,266.26999918619794,268.44100091396234,273.62843205378607,274.91450774363983,272.29322149814703,274.77855897561096,276.42483990009015,275.9073486328125,271.8298065968049,274.37047713842145,268.3163311298077,274.0980451534956,275.1116176507412,272.6742647611178,265.1224388709435,268.951176570012,269.49776752178485,266.6433473244692,273.1164762056791,273.28106454702527,273.5210704314403,274.65735724033453,278.2547427446414,274.497804299379,276.62346629607373,261.9524113581731,267.2972075633514,275.64190439077527,275.23460349058496,273.2893543732472,280.3194658328325,264.75447747646234,273.9039783966847,272.00199146759815,279.3700099847256,270.7373798076923,270.96963657476965,277.26358814728565,274.06917082957733,265.2455585186298,272.90071771083734,271.03477986653644,271.88564828725964,270.0988284380008,279.38695663060895,275.2262299366486,269.76336669921875,277.63133122370795,268.4840338291266,280.02452674278845,269.8717995668069,274.00047419621393,274.1245782314203,274.0957657251603,270.1447941706731,268.6810756585537,269.73636725010016,270.0110058906751,278.14661818284253,275.9788849659455,278.80340810922473,273.4465003380409,268.6395482772436,272.19175602839545,274.76466487004205,272.412354298127,273.0557235326522,276.70137845552887,277.74471967648236,280.14928181966144
4,267.1841892340244,271.4522454677484,271.35196627103363,268.76216477614184,271.96116912059296,264.9688094701522,267.0108533027845,263.0843271108774,274.691407815004,277.4874823154547,272.31181061573517,275.3977778508113,273.04125350560895,271.38883620042066,266.599610157502,271.98506907927685,271.6549588716947,273.514405079377,269.72574635041065,271.7721174191206,276.5592713967348,276.89215166140826,267.7246351975661,275.17096260266425,266.3432124211238,273.6338117550581,273.2533295460236,268.74881059695514,264.65018795698114,270.91814403044873,273.7443072979267,264.88207147060297,273.9857177734375,273.7157491048177,274.8345798590244,272.85643357496997,275.98112526918067,273.43206708859174,275.3912541316106,264.5855255126953,265.2593516814403,275.7495265862881,276.9021191719251,275.67207688551684,275.85162353515625,264.8523606520433,274.1977069561298,268.5789787096855,277.5396986741286,269.9221480931991,270.0200641338642,278.83917158077924,273.21069961939105,266.59237201397235,276.8830895057091,270.01458818484576,269.67635247646234,272.6537632086338,279.7222571739784,274.7558445074619,268.6688537597656,276.95441769330927,264.100108611278,278.51792399088544,267.3593507424379,274.43114843124,273.34501295823316,275.3303629557292,270.86854044596356,266.25743376903046,268.3053275866386,267.99003248948316,277.6363071539463,276.3117018479567,279.61051980043067,275.15577423878204,267.5871769831731,271.5132548014323,275.4952689928886,271.0780334472656,274.8077909029447,276.2279318785056,280.27835239508215,280.0003615159255
5,270.6677801670172,269.43660951272034,275.41868708683893,267.14307579627405,270.4175258538662,267.69898008688904,266.60920989207733,255.90562595465244,277.2352842673277,276.6430006760817,271.15811939728565,275.8785400390625,268.8304412059295,268.9656231219952,266.8698503543169,271.1456009302384,273.831787109375,272.58468549679486,270.6637252416366,269.07713591746796,275.68170870267426,275.09843014448114,265.5145999223758,275.3792998485076,265.0183629745092,269.8640919220753,269.5119323730469,267.5562517215044,267.2038793319311,270.025634765625,277.7685734675481,267.42343061398236,273.43104435847357,273.6159214117588,274.3564680050581,273.601567195012,273.6536270532853,272.76940291967145,270.3028274927384,264.3067626953125,269.73431396484375,272.85853615785254,277.17277096479364,275.48213860927484,271.3068628555689,263.43787560096155,269.18302095853363,270.50851675180286,279.33778889973956,269.6247261242989,268.7151575333033,276.1675798465044,275.1933859800681,264.94029353215143,277.85360326522436,269.8449159279848,266.6316426595052,274.12483958708935,278.56373791816907,275.1353133764022,269.33131213065906,277.2722950470753,267.35430673452527,274.32068731845953,268.6073404947917,274.6667261368189,273.5467310196314,276.38337277143427,272.58076046674677,267.3277094914363,270.90196032401843,268.59124364608374,275.61278905624,278.9970444899339,281.8075905824319,273.2811208871695,269.58548677884613,271.4942180926983,279.770270714393,271.85039187700323,274.82686282426886,275.7268371582031,280.3777043269231,279.72837790464746
6,270.1090314816206,268.46478506234973,275.08695162259613,266.7381036220453,267.45277600410657,269.05378997020233,267.8523504795172,256.4787758069161,275.49655073116986,274.83886170998596,274.3209564991486,274.70319307767426,268.92606686323114,270.76523844401044,266.84307626577527,271.33641013120996,273.58651655148236,274.89361885266425,274.77914663461536,270.38721720377606,273.3931892590645,271.77650177784454,264.6326309595353,275.92996294070514,264.5107867901142,269.3417272323217,266.27962161333136,269.64818318684894,273.24538167317706,268.2115181164864,274.3578882461939,268.6637854942909,272.9689417129908,272.37036993564703,274.07132349258814,276.7722355769231,276.1230875651042,275.451905079377,268.3290616548978,262.24779725686096,271.90852316831933,270.0147900703626,278.80276254507214,276.79729989858777,268.09748409955927,257.0818066719251,269.2521675305489,272.55628380408655,281.5454438038361,271.2269013233674,268.5332250350561,274.6532170222356,275.09662960737177,265.9895426432292,280.54861528445514,270.55343862680286,268.52246954502203,273.7848792442909,278.41895705003003,274.17804189828723,269.64818709935895,282.3411137507512,270.36771177634216,270.11170763847156,268.9835643279247,275.22518216646637,273.9499245668069,277.33460881159857,275.5208497658754,267.7988649025942,271.4893564077524,271.95063038361377,275.8987090281951,277.3309341821915,279.6142022548578,272.7797147310697,271.7768319936899,267.45970818935297,281.8982450045072,273.72919014172675,271.1196774213742,274.378904684996,273.9698885404147,278.60999787159454
7,269.90367478590747,268.95653279622394,271.57081330128204,266.22883958082934,268.73241796249,268.1200225047576,269.1138203938802,257.50245275252905,277.5831189277845,273.62799776517426,274.3685114933894,274.4144991361178,267.3217483911759,272.0566875751202,267.6996702536558,272.35533728966345,271.69468884590344,275.57931127303686,276.30516169621393,276.23955516326123,273.2956214317909,273.208503136268,268.52946041791864,275.3788170447716,264.8181817470453,269.9528957269131,266.92060421674677,268.4493392553085,270.55948971479364,266.94688219901843,272.66109525240387,269.5279791416266,272.8406317295172,272.0796305338542,273.8072001139323,276.6118657038762,273.69070199819714,275.2753499348958,272.2097872220553,262.8627272385817,271.1156710111178,267.5213145720653,269.9302728114984,276.1688967973758,269.5478742550581,256.0740250807542,271.2866883889223,269.85047795222357,280.1309626652644,273.33785541240985,267.00486950996594,276.4807324531751,275.20130333533655,271.8295679336939,282.154782808744,270.5884274213742,272.7791075095152,272.08262125651044,277.4398686335637,274.9940365522336,269.65973604642426,284.0800155248397,270.89726296449317,267.55298868815106,270.33682642227564,275.08528958834137,273.98585549379004,278.50537500626,275.3644745655549,269.37599377754407,272.4993411333133,278.4997081267528,274.4927970690605,274.93638493464545,279.04796737279645,271.38063557942706,271.23101493639825,265.02620912209534,281.024647248097,272.26126489883814,271.37788664988983,273.58389360476764,270.1453200120192,277.5645008576222
8,268.459965632512,269.9862811748798,268.74205525716144,271.10701653896234,271.7952403533153,265.3724349584335,269.82762498121997,260.3467305501302,277.47322512895636,273.895756648137,274.7935501489884,275.2894999186198,271.24282993414465,272.8686077411358,267.2982686360677,274.0477052346254,270.7875780936999,273.5063187036759,273.66389739207733,275.9654767941206,273.89723322941705,272.1004849947416,267.0602550017528,274.1792688614283,267.4207395895933,271.13421630859375,266.77467854817706,266.535886324369,267.2998312925681,266.8291782476963,268.74581517928686,270.18133231921075,274.8516618777544,272.53191747420874,273.8355532915164,275.3265193058894,273.88506297576123,272.73463322566107,272.03887939453125,265.7319781963642,269.9525842911158,264.8464691944611,265.75660901191907,275.6671815529848,271.4676294571314,256.9288584391276,267.6964126978165,263.8665881034655,276.2449286045172,273.6356866298578,267.2793297400841,277.86707560221356,275.8999727689303,274.52489608373395,281.63431177383814,269.1732396834936,274.2909240722656,271.632322653746,277.9781259390024,275.7261884640425,270.23628586989184,280.342037885617,270.0831533578726,264.432858980619,271.7178908128005,276.4683430989583,272.78016388721954,277.7903504982973,274.69695653670874,268.7575918344351,272.5702209472656,280.67056665665064,274.78041115785254,274.46517240084137,277.76319689628406,272.7493403508113,273.4454619578826,266.07108091696716,279.7057072566106,272.26580497546075,272.6661588228666,272.9897640912961,268.70599756485376,280.12990002754407
9,267.6580301920573,267.6492966871995,266.7008127065805,269.2615199944912,274.5491982484475,265.8678573217147,271.5499158027845,263.80619459885816,272.62451563126,274.7364055926983,274.9099747095353,275.1051041040665,272.4205502241086,272.6292693309295,264.5514870668069,274.0578049879808,271.56556506034656,273.0998261280549,273.838620699369,271.701667198768,272.458259778145,273.5253209823217,267.6812634590345,273.2824949606871,266.20623779296875,273.82528530023035,266.6271464029948,264.6435327774439,262.61083593124,268.6661830804287,268.2771974221254,269.1073483198117,274.508547269381,271.4564772385817,273.98719826722754,272.7745337853065,273.8521736340645,271.7098662547576,269.7381317921174,272.57524852263623,269.846676557492,262.9459956242488,267.7039599296374,273.23951525565906,272.24967604417066,262.03987395457733,271.1590137970753,266.00998942057294,274.03697008964343,274.2651914938902,269.2167640099159,278.508048815605,278.4270168206631,274.0566171499399,279.9415517953726,269.0651581593049,275.4041716746795,272.1023395244892,277.03502165965546,274.48497596153845,270.4859595665565,277.079826941857,270.2465515136719,265.119377723107,273.2987655248397,276.3459206605569,269.27893927158453,279.2444700583433,273.53961103390424,266.0613544170673,273.763660919972,280.46920619866785,275.30176407251605,275.95448811848956,277.31297263120996,275.81983752128406,276.1207024989984,268.53963529146637,279.51717435396637,273.51005202073316,274.7256673177083,271.0229961688702,270.0280534793169,279.9116680438702
10,263.4033868251703,263.8042735564403,265.2730532915164,265.6426790677584,276.9109442295172,265.4132056603065,275.1871525691106,265.7655467497997,273.95730356069714,271.6227831718249,276.2645114996494,274.37212821764825,273.43126189403046,268.7653558193109,263.9876482058794,273.11992703951324,274.0465236566006,272.62174009665466,275.11457785581933,268.34893485827325,267.53384555914465,272.6265133588742,273.16395373222156,273.27808243189105,263.4995852739383,272.35802674904846,266.8114577073317,262.50726709610376,263.80081881009613,266.93316259139624,269.69773982121393,268.9376072027744,274.225343361879,271.1119400415665,273.15748791816907,272.69979075896435,273.1294860839844,274.09183600010016,270.234131641877,273.1290259728065,270.2166928022336,263.45960646409253,266.59359349959936,272.34075145232373,268.32032971504407,262.37030107547076,268.4678876827925,271.04074331430286,272.61498084435095,274.8326901166867,269.48094764122595,278.9503385103666,278.9893501477364,273.8897485977564,278.9314856896034,271.03902415740185,276.8232124524239,273.22820731921075,276.30709134615387,272.80489642803485,271.1221673427484,277.9506436861478,270.0685323079427,266.0594998873197,273.39589436848956,275.4614805563902,267.77178172576123,280.29613084059497,273.7903684958433,266.04966618464545,274.1334017240084,278.9235182542067,275.5428419846755,276.7398658165565,279.4320060534355,279.0921842134916,277.5259821965144,265.73206818409454,278.51830506936096,273.24845064603363,274.868409768129,271.2576200045072,273.4014587402344,277.91322365785254
