Day_of_year,t2m
1,272.49452334672975
2,272.36173158303285
3,272.7647531623514
4,272.5075723631769
5,271.9536461463341
6,272.14030579134953
7,272.1361655341255
8,271.78077195648456
9,272.0644670796191
10,272.08468985272265
11,272.612351298536
12,272.5370680849777
13,271.78916234725557
14,271.6614956325954
15,272.08736415765225
16,271.9483260717147
17,271.9831110245142
18,272.13136711446646
19,272.4866258930956
20,272.6637896676349
21,272.6413712721604
22,272.95779713687733
23,273.7614334497696
24,273.6253181131477
25,272.99731197520197
26,272.8959738185263
27,272.73743690425516
28,273.2737858698918
29,273.68074275611815
30,273.33352593315976
31,273.3010504828559
32,273.13544032431065
33,273.5394541161692
34,273.7069523216313
35,273.6334881122295
36,273.54605355548034
37,273.928745719714
38,274.26811064369656
39,274.04818123059397
40,274.19114040798615
41,274.3266923170823
42,274.2835675883497
43,274.2120218651926
44,273.9900786831847
45,273.70274744278345
46,273.63771490113345
47,273.26990194728234
48,273.4083562867254
49,273.42297926682687
50,274.07843896588713
51,274.3420700203659
52,274.01298303848665
53,273.9553224221254
54,274.0643370538695
55,274.475272884532
56,275.1021407950638
57,275.1600922674196
58,274.9010507958567
59,274.79113902556594
60,275.7184780283871
61,275.96017479529746
62,276.1306321364182
63,276.1532840565739
64,275.79598133054554
65,276.2119388678135
66,276.74920904697507
67,276.67583357330045
68,276.8423817169971
69,277.2159135606554
70,276.94019146780687
71,276.72726090912124
72,277.02307152381314
73,277.7358999659873
74,278.03141257783284
75,278.0637406308427
76,278.1938046708066
77,278.1329195201906
78,278.67163529355304
79,278.57631246452655
80,278.7712086995443
81,278.79566791240984
82,279.0895540155916
83,279.5797536475026
84,280.06762244069677
85,279.8962260450053
86,280.1823676215278
87,280.0039348895734
88,279.43052052554907
89,279.37848082974426
90,280.49647915831997
91,281.0316105769231
92,281.01480086889023
93,281.3820374839326
94,281.9090885781834
95,281.5241792597322
96,281.7291706574269
97,282.00842770307486
98,281.8695224077274
99,281.2904453636235
100,281.1665842952891
101,281.0785244672727
102,280.63352311615256
103,280.28837019439436
104,280.65529219146464
105,281.0625552707249
106,281.31536565275275
107,281.15580209585335
108,281.2608959491437
109,281.70109941531445
110,282.01770804641586
111,282.5224306807558
112,283.2248695569161
113,283.4604037553836
114,282.89537742158285
115,282.8943455361912
116,283.5775215344551
117,283.7153503417968
118,283.2834128616203
119,283.5474089011168
120,284.14635207999464
121,285.1026711488381
122,285.52767036633605
123,285.05128898946634
124,285.27188598111144
125,284.9836269541683
126,285.7040894598024
127,286.0700921996027
128,285.6913012121477
129,285.8815490461823
130,286.1941048124916
131,286.44247246114617
132,286.5619546743539
133,287.06865372617017
134,287.10450045593785
135,287.0951343764607
136,287.0810907347589
137,287.4504227597489
138,287.8406562479134
139,288.158112902519
140,288.31902750129376
141,288.0682414258647
142,287.673786600227
143,287.1681231115618
144,287.4548404008914
145,288.01142708542
146,288.3706392206697
147,288.09910977355435
148,287.9361827100444
149,288.09376791929594
150,288.24034695095486
151,288.6300828721788
152,288.72642399714545
153,289.3867321047008
154,289.80240147256444
155,289.6227856758313
156,289.3761289678068
157,289.5161935137886
158,289.6331480629423
159,289.70103655432024
160,290.1395737085587
161,290.35191277398013
162,290.24713998126174
163,289.95263369307565
164,289.6578861334385
165,290.34274398934133
166,290.27603063338836
167,289.4931916587373
168,288.9568283211471
169,288.7539872389573
170,289.41129168649
171,290.13022372253937
172,290.7035023746328
173,291.0256672916249
174,290.52927042643233
175,289.8238517043937
176,290.2526081052601
177,291.13748312404016
178,291.28650410970056
179,291.34462754991324
180,291.32394633496926
181,291.13817589914703
182,291.35083876389723
183,291.46767267732537
184,291.9528131990352
185,292.49653286404083
186,292.25540565425507
187,292.00129376272866
188,291.44348084539416
189,291.61947073651174
190,291.72585185776404
191,291.98126844096385
192,291.9286649785491
193,291.9799960666232
194,292.49896996652984
195,292.140224072057
196,291.8556314060831
197,292.47240895328355
198,292.6792064960186
199,292.66432821159685
200,292.2178861960386
201,292.3628809480586
202,291.9276594895583
203,292.1343682965662
204,292.76171029897836
205,292.9928055983324
206,292.1146217280983
207,291.6836974315155
208,292.5013506767078
209,292.4698668911927
210,292.76438181298414
211,293.1949854663295
