Day_of_year,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,264.8999744349023,268.1251451162586,271.64975174997744,272.797621633121,267.3700252561356,273.08328282409116,265.1168070525744,273.096438071075,271.6059054618438,273.5530669635933,273.5882295493354,272.9823738899578,271.08652175133443,269.7980566032668,273.9893056460902,274.8021053948414,271.50427041633543,273.7810336508171,274.9938385287428,273.0160593643378,273.4444566699865,270.3758061411363,268.91691229656965,267.06461214960063,272.7776498092512,271.4513934240349,270.7411907438999,268.9930404398045,268.99433786598877,271.03064787732956,269.939940194634,272.80529166727246,270.8611013003871,274.7764956945225,275.40259099539105,274.0448947398499,272.9678718308164,272.73612697150116,270.9194890630452,271.0254170281321,270.88587241097855,271.52708893200895,274.2142811310597,274.175791523494,267.85265383787447,273.19142409609407,269.1485737563166,275.6314649558244,273.12868805815106,273.3834345638505,274.5865200853624,273.90868327832595,271.1655525352661,276.3109220973315,272.35964667964714,273.6349161430466,270.9764870769037,276.3719675018335,272.41027127779444,269.97836331477134,274.6949280895804,269.37064153956817,272.6399316022572,273.2313634779357,273.91547539571377,271.3377103718772,275.95970604378294,272.4862046411355,270.859126921623,272.9548699920881,273.865965686227,273.8267750830764,274.99824159178877,278.0396868356305,274.7194333261848,274.380852256756,270.88356650378506,275.7972359353595,273.94970016542595,275.7049320495454,274.51521390878634,274.2779128056503,277.9653468735461,276.0664843235063
2,265.25073441599295,267.67713220184555,271.29444040909004,272.85530720119937,267.10459739615646,272.782219974338,265.326179371874,273.3004878117488,271.69151468963247,273.5752919388764,273.53247504474905,272.8934195165894,271.00195703751,269.8774001860638,274.17811265161356,274.8176901338513,271.2479772575637,273.8141351262827,274.596928371685,272.829827522423,273.22420355936435,270.70904664701425,268.44171379852924,266.9766580914544,272.65432035006006,271.1939014721942,270.6389727091572,269.17503680031194,269.1080606995386,271.2154277741564,270.0280399748468,272.47611584280816,270.83345371243183,274.786389750819,275.5936530959616,273.8787737799835,272.87045315852134,272.73914899423755,270.56630314905055,270.9117369292885,270.66502056011393,271.43265179428215,274.03918648870444,274.19252901416456,267.5024878010462,273.0486806864774,269.1408929943151,275.7013745682608,273.3379394935122,273.0026048986847,274.45650341453586,274.0105726117433,271.29772262636345,276.26963749357844,272.2538761110519,273.4684933645849,270.8390863133029,276.6792896355944,272.5264808017424,269.9450229237748,274.57992321484534,269.39991307160005,272.5549625115911,273.390141741908,273.77418322440906,271.1814932874454,276.0010773790484,272.72767433437855,270.6559883666689,273.0710660620501,274.17147499002436,273.69517955038543,274.8842978150121,278.337411329902,274.8161090002068,274.245361252399,270.85376160829094,275.92482442674407,274.1992686534342,275.37431104484915,274.274902646654,274.2827862533683,277.9613212036436,276.10994458573236
3,265.43589347290344,267.2456893605373,270.8412631329078,272.8863086684663,266.72107491441955,272.406240357556,265.6669054559876,273.56019124046054,271.79446708988417,273.567627760869,273.52588627691404,272.84894071441727,270.84244867392664,269.91745048125387,274.1587884617404,274.89175715418867,270.9041267944033,273.83110077939216,274.1321379075472,272.57689281176494,272.9055505441771,271.0554497326771,268.05529113719047,267.05077127940996,272.52557953612876,270.8679981720753,270.4503863439568,269.4591576991937,269.090328674064,271.18756313024227,270.09049120730265,272.22219230203814,270.891846939983,274.8369986989263,275.7659032173251,273.78024213741986,272.6913551349498,272.79481313246356,270.379631692462,270.79804749090476,270.53840020040127,271.3550093708401,273.95170723258013,274.13032373975784,267.0850606181584,272.93827220326716,269.1691593394189,275.70653360396796,273.44649087229084,272.6975739560313,274.3394381867844,274.01062642768755,271.4180304919322,276.1410167053576,272.19591235089047,273.3100041719978,270.68815591337267,276.8123228516433,272.60361003008035,269.9853340445519,274.5460301502565,269.42508207183914,272.4159769290138,273.41686511927145,273.6363110916983,271.24704701413384,276.1245321900121,273.0234690020161,270.5971111237658,273.25944877479367,274.42257402670884,273.705567012058,274.76955868805413,278.67578069467595,274.81836417098003,274.0494194188524,270.81120208159666,276.09072030369555,274.2927853668692,275.03588190701896,274.07108831287314,274.33435866337754,278.06912001743115,276.28497958124126
4,265.74471056412034,266.72721003302865,270.333988337994,272.91006858453363,266.49928974060106,272.11024516746954,266.0027338979262,273.82786568893295,271.9644095623562,273.42293915224036,273.6486343371168,272.71663431651933,270.77908484219915,269.8136839255309,274.0327413983341,274.9735861400418,270.5684263925103,273.858394726926,273.7999772165707,272.2664077796652,272.4332618176986,271.34022424790953,267.76334547069666,267.0032583888253,272.39099222061753,270.4073976780187,270.1722968947897,269.6723132894688,269.0589383790274,271.10700868870026,270.1920953566028,272.11968340372823,270.9019981112926,274.9808367026355,275.95797325620185,273.921147576041,272.41654757491017,272.9096865468621,270.27357445047153,270.7213070146105,270.4088024962924,271.21747462270275,273.97829334394703,273.832274759575,266.78675242787654,272.9979498195096,269.0679710015864,275.6964592945487,273.41354175753787,272.3563582780837,274.29320334914894,274.03700156641753,271.49885136278533,275.89733179942743,272.19557698567706,273.19332411192585,270.5164575064054,276.8433708399165,272.6743659815382,269.8553238104354,274.5565976883578,269.5221664643268,272.3255632903775,273.3977887553553,273.65963328624184,271.23958810407134,276.3755798087424,273.32635227957473,270.61607836651547,273.48844129690167,274.67318642287336,273.7504371157158,274.6343695022924,278.92589529335646,274.69083184304566,273.79082360910525,270.73362473203093,276.3136445227687,274.28787241542113,274.7664861308335,273.9220210249706,274.31126084497294,278.14014509909407,276.20670724368665
5,266.23194116635,266.20460599863003,269.87193271835747,272.82596153341314,266.36246285387267,271.9546950776484,266.2998847425033,274.0373734568051,272.24810861693226,273.24901094270996,273.8240561915193,272.4947380526585,270.7517817065773,269.82651620112335,273.8384443082723,275.0662449283774,270.31076514257484,273.9631095741089,273.6590476970814,272.2103155371175,271.98204665266843,271.5297095817017,267.59480365156827,266.8650293594752,272.294430791888,269.8980961019486,270.0414052857556,269.87191435480236,269.05695208603925,271.1180064009674,270.37683054984745,271.9345508004339,270.96233562914375,275.0096218465674,276.0760797416996,274.09422954751795,272.21165982507495,273.03210290194147,270.12122764618954,270.63566954102373,270.2642586252924,271.2621505396537,273.9243667892822,273.6291305756549,266.6151930538458,273.13694827550694,269.04030137736504,275.7427057687461,273.31930004337585,272.1099013461861,274.260018726535,273.9994799643139,271.5872865586955,275.57981994982293,272.16284490164105,273.03528018822055,270.38912052630985,276.86762956314783,272.667234889331,269.8320041148499,274.57284434833633,269.61856886845567,272.27489499832797,273.357177759617,273.63704462422135,271.14550218353395,276.6091463074791,273.59488313862664,270.7979673980385,273.84054012629883,274.6828012774067,273.9210902262168,274.7061755461965,279.06045920953363,274.5278531588041,273.6319567709545,270.57625282609433,276.42164671135106,274.2108811850977,274.48405104417066,273.9387096976129,274.3448774086926,278.1111505727713,275.96918085569973
6,266.8520693341201,265.65960558314674,269.52017865681864,272.82382951835837,266.2538153787996,271.6661185366344,266.44890172309965,274.19247047796637,272.55233552615636,272.95636993483924,273.97845317629174,272.26076253255206,270.52422189515323,269.98971676254587,273.6416737546203,275.16382260003104,270.04498101700625,273.9051905680136,273.5724597359808,272.1053503650195,271.5960984904476,271.6395578692036,267.4812727077033,266.6818985477571,272.197261788216,269.5048265228398,270.03567901182214,270.1493828760089,269.0838120226233,271.15019530240323,270.4718331083766,271.769775112963,271.079828027263,274.8741944520507,276.10250945363384,274.25845947770466,272.09988473997913,273.1476056751286,270.0618083565762,270.5608201953771,270.16806724428443,271.3440320541091,273.73124186197913,273.3984168268019,266.536876896179,273.1449502167177,269.0027513780112,275.7078384891633,273.32546888529714,271.857171221939,274.20490897835725,273.83256241740816,271.68286299409704,275.2791327262733,272.2436799584981,272.92584420354825,270.3449829707371,276.8354933165242,272.60929639641165,269.94588746227834,274.6377164148121,269.8368629222078,272.25058796190837,273.13609779679746,273.8294201417833,271.15671011117786,276.8114563695057,273.8544428646318,270.8617019842635,273.9058167967942,274.5872862053075,274.0360810916418,274.80955968561796,279.1474761331841,274.49181192428046,273.40552373717304,270.4305644575676,276.5512908607401,274.10035156552897,274.14929623284354,274.0433929418117,274.3976779934589,277.9979578212236,275.67886620104264
7,267.38008487471086,265.1183641558348,269.4705725228915,272.8849230088706,266.1108276266219,271.2132968445076,266.4811751095099,274.1042004657048,272.8008555372063,272.6028723578694,274.0859890946482,272.1667039995848,270.43849357560805,270.0621614290526,273.4551757105724,275.3009033707965,269.7963129363837,273.68525911619884,273.58856716108676,271.99568831299433,271.3750916537024,271.77078125908713,267.24628845416777,266.65204114890275,272.0936685440656,269.3650710845013,270.16401173833776,270.1539123257494,268.97250712026334,271.3472170139562,270.60950126048454,271.6110179765447,271.2780509551169,274.7041544697322,276.1621331782061,274.348631575642,272.0439727000701,273.22677597159486,270.09434708689145,270.5145187693455,270.04854291564084,271.26705793786186,273.7634477512811,273.1797177399161,266.61077949012775,273.23312713648284,268.9572361897989,275.6455372446721,273.32472674525206,271.5925066043169,274.088620295497,273.6270572987344,271.74317733979206,275.1343295189642,272.3541477856506,272.7396907632858,270.3964429781198,276.77711159932505,272.67489288304836,270.0724308591327,274.7673091967309,269.9911882449419,272.24255593223353,272.91042982279714,273.987561146221,271.22806376795614,276.91691088301764,274.1113636909781,270.8582858834215,273.694334751126,274.3554235920618,274.21918693902177,274.84195933251266,279.12611079945657,274.5076962101055,273.12851358544634,270.3154587915261,276.5560734624997,273.8764096899797,273.9509981090713,274.14362834365625,274.44636382930435,277.85997679452447,275.4127416113766
8,267.81360789662654,264.5942543351621,269.48775634260784,272.8906036705099,265.97597289736154,270.78782776232293,266.39159041815697,273.99943574032966,272.95183293774073,272.20570682749656,274.20056346707145,272.10277507520095,270.4698181152344,269.8909041260372,273.2779510472805,275.4270935815854,269.62359848842823,273.4537799289347,273.6516886443713,271.91429482736896,271.27768052876536,271.93523793816075,267.18086651596184,266.7829750382871,272.0654507898121,269.4448868693943,270.35125169525276,269.9812799395363,268.88926031650635,271.46949680981504,270.79115710641054,271.4159538325837,271.49284601329873,274.49879868273104,276.2642345191823,274.4981535729344,272.16771832411695,273.26814094587627,270.17759336056645,270.51397195189725,269.9279564793589,271.23768309032357,273.75587027954407,273.0271258358131,266.85881548582574,273.41608683268225,269.0104064436566,275.63236326812415,273.30089726223247,271.4253977230504,273.91334138654105,273.43810611090646,271.9161605645646,275.04475868546933,272.5947027845359,272.341550412111,270.4500079916172,276.7206430742817,272.78352056839327,270.2715569205083,275.005139877029,270.19093639541006,272.16448277930175,272.7242701730026,274.0528116912463,270.9700776534794,277.03901052672177,274.21995853648093,270.8351523980708,273.2944870815482,274.0372267503005,274.3724378360215,274.83684303151165,279.0842800597892,274.47108359766753,272.848154350388,270.17619095290365,276.5829816113039,273.6417126777844,273.73435152493994,274.122070539678,274.4920161825453,277.7119416015221,275.26846833461764
9,268.17941905132886,264.0687958091818,269.50404177429857,272.9110990891878,266.0345347919574,270.4899771842609,266.15370617433456,274.08055562791594,273.0249163025761,271.8545987592244,274.1978559344144,271.9783232052332,270.474852354493,269.5548447829026,273.1721921404893,275.5562934212886,269.55924138399666,273.1030937806943,273.60565589418877,271.84498029508507,271.2831342395817,272.1437786345249,267.1689337390429,266.8983158840435,272.12023125609846,269.45637478130334,270.4864746043266,269.71995796853594,268.92302224890466,271.528573111131,271.1028123576351,271.1949272818364,271.65699229149703,274.30349900566716,276.3799257996262,274.59612913423575,272.34242338144253,273.22486810550106,270.2183540413654,270.52906664271705,269.7131081353149,271.2194632884389,273.70534036413903,272.9123887786991,266.9935528397856,273.55130413803215,269.2018053734766,275.6207797395187,273.21028305066335,271.50828485354793,273.8977526340532,273.35288838653946,272.2224328835411,275.0205252799641,272.71957044072934,271.91624265154894,270.5496263275272,276.64040181023506,272.9672269986817,270.3252799741684,275.1820996507719,270.7173540921523,272.16833675311955,272.63085298877394,273.984371163216,270.59890370964507,277.13684695411854,274.2794504220866,270.83010172627013,272.8612655500817,273.73733146926213,274.442633288867,274.70612352243427,278.88624889541006,274.4308086486766,272.67042090934206,270.04133947986134,276.5790356808797,273.41944409442203,273.6093362535298,273.9199793005502,274.36152478542283,277.5784096792772,275.1767811108661
10,268.4188458590196,263.7810599529812,269.36708332626563,272.93646389162177,266.1870615717002,270.1818116395507,265.92111665459083,274.1335269748129,273.149664412657,271.56092237499354,274.187502928072,271.82850817356154,270.545160916741,269.18236057732696,273.1234354251076,275.51633437592886,269.6648947539854,272.7525448227244,273.44229302670567,271.87161166535816,271.3152990601494,272.5050596831947,267.2567221339425,266.8634538547967,272.04435610080964,269.42527143732394,270.5185908088022,269.52119804237185,269.01339166355683,271.60379217635307,271.4119115029612,271.03284241681854,271.7738263530116,274.1451830994107,276.4359904526678,274.56279005582314,272.46656207391504,273.1671646408447,270.1652087770877,270.49164451933575,269.56606477622256,271.13424271172585,273.6224016137513,272.71775846899396,266.9736483868141,273.4522974915106,269.4168764781715,275.74979283890514,273.0947143453719,271.6322080045815,273.9702870358703,273.3169980234504,272.5550785995496,275.1521701355233,272.8593435737099,271.45750988880593,270.71939871940265,276.5172970048448,273.1667922961012,270.123536140688,275.2651595122761,271.13283016940005,272.2825123019412,272.6757554779179,273.7735114843023,270.1923321518058,277.0584615071615,274.3833474284662,270.8959025721397,272.3652960916902,273.5391502664344,274.3790270582125,274.3901591588881,278.5444114565159,274.35817638362505,272.61347725413077,269.87051270439963,276.6359571988569,273.2781141863271,273.57728436567055,273.7860009482915,274.19465088193533,277.42725086448803,275.06279285768517
