Day_of_year,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,270.7738393706717,266.16173410939643,270.3807896205357,272.0124777769431,266.1721559182192,271.13936640142083,266.31496488131006,271.8211733639895,275.1131383874914,272.6023954174894,272.76437836252285,273.33705569536255,273.9904331305088,269.6134259010846,271.63127488356366,274.4818182305975,271.9710958292196,272.6981877477177,275.7922143062829,276.17469021863553,273.45777216761104,274.74020251598984,273.0413690923334,268.9881604093335,272.0794735863095,273.90140754224615,273.22271851480224,269.35923169034737,264.99632715916897,270.4852177546574,269.8680873773037,273.3594268687042,270.0994473970853,273.4423470409799,275.63800261221525,275.07492098965486,270.87528818430917,274.55718513460823,272.3538631117824,269.55116903563555,271.626965086102,277.14017394348815,272.2595544612451,276.6566313020476,267.50687998118417,273.3539354932177,274.35136955736317,276.85074847434464,272.090085319547,270.7017082242302,276.17720383864184,272.51453374506355,266.23000003130005,272.5675677065447,274.54562601501686,269.48665789370136,265.93973527286516,277.0548348339486,273.772948436248,269.0419609992059,274.0519684173249,270.6398503230168,278.3197724618318,273.5371884077023,273.84385351383645,271.99239989340083,275.37985754886387,270.3286357502361,268.6797569191063,274.67274782509156,270.07806620056374,275.07592024471296,274.02508667886474,277.85792345878406,269.0444833385202,270.9366904457847,271.41942744551994,275.19199748615637,273.5960346822774,272.90961889469577,276.2656912890983,277.52855942275494,280.6754836756668
2,271.53854694296587,268.3514300335894,269.92540240724446,271.373782762241,266.243894695799,269.665038838928,264.76724617647164,271.2875023027916,276.2347469120235,272.11600927555514,273.2830237084693,272.45324472280646,273.35502708351214,268.9329277290093,270.8192188975575,274.26537482293094,272.6634644448975,272.3212157308837,274.6671910547948,276.17384802290803,273.8580075218564,273.49375708723244,273.8642014723557,268.2177290584578,271.550779349638,273.23443502908225,272.2308596656436,268.8653805910885,265.8673804426368,271.61640086191477,268.9791586180746,273.31520902193506,271.02730462489984,273.5523465893644,274.8426479018215,274.9366436074505,271.3204236152844,273.7453402005709,270.04317862821586,269.06402565533426,272.22669418390853,277.29103228111404,272.6338705544943,275.9262406904619,266.2832792512663,271.40429072676994,273.8131189590845,277.16486534705524,271.5693585182721,270.34408122191934,276.66808601351454,273.06551576272034,265.941400325342,274.0674355754922,273.5018590011876,269.67088614103994,267.80402896867133,277.8513551369691,273.95204000507954,268.6902507181133,274.24554856967575,269.41344913021544,277.61914722037403,272.25554928063474,273.7875236539177,272.4049691560067,275.76455464904564,270.70890232407567,268.4529911921574,274.1833021003248,269.8714074215173,275.3609698508685,274.87425617595295,278.2864774487394,269.9140149909498,270.25094638027986,271.2555957836109,276.09100856012475,273.34228850983,273.415049235026,276.07830799368276,278.06805129278274,280.8544277987637
3,271.75649409591057,270.25573886969147,269.3341993394789,270.585951361464,266.48751875769085,268.6532321133456,263.19452284369277,271.5914146786644,276.7324537340101,271.8906586475861,273.9606229341947,271.98174635219925,272.7853589180188,268.07864882919813,270.3517285022107,273.6499937846984,273.5783007275927,272.5178534539191,273.80315726143976,275.84372026492383,273.7650863032638,271.9386565379607,274.1433358105111,267.4307202908582,271.52532947805776,272.3010754707532,271.4321824517442,268.9546545678443,266.64876961620735,272.24014841156566,267.95552951686983,273.2086501348586,271.8601336915851,273.73816007397545,274.67852548452527,275.3207731701079,272.9407497308193,272.8111385583004,267.53068028264863,269.0505147521749,272.396262479789,277.6154515751989,273.40625447144,274.9094702193152,264.2881128779261,270.9363141741071,273.24962618761447,277.95521092676853,271.4238891601562,270.00408264830867,276.41498484628977,273.45031861245843,265.7568899301382,275.7070603143601,272.148198613317,270.07561976394373,269.6618148188888,278.5748074150784,274.1007675897507,268.84562107407567,275.51540176335703,268.55212592379945,276.1605944511218,271.19423264723554,274.1149666475289,273.26075224824,276.3055478050595,271.6070219046904,268.406494252411,273.2707270248469,270.1210699395819,275.7239710769374,275.6335275950449,278.63587577177054,271.10904892023666,269.9339501237695,270.8943158383771,277.42010319189274,273.32738229381295,273.4609098888579,275.7432494670044,277.56947265177854,280.56667498354506
4,270.9277956337282,271.5901416596912,268.7604499788948,270.07014426206933,267.0313920800066,268.2976770645532,261.8267182290772,272.7612861381782,276.6228646638192,271.94118245442706,274.61257889855915,271.3581841437371,272.3466392209678,267.56838072612607,270.32339052752263,272.9545722933479,274.29132527222123,272.8681752411,273.6022431649568,275.34808282537773,274.02723319364554,270.56168563898666,274.227300622961,266.70967979570884,271.9724519051911,271.40454537527904,270.7053656385932,268.7090003603981,267.12029302687876,272.5834759722699,267.51550337683153,273.18089993096095,272.4952429467505,273.7855715349917,274.9325185922476,275.54687634143204,274.43307528652986,272.6623954353752,264.95084182683365,269.16555093059605,272.15265216757524,276.10133277976905,274.33630527594147,274.03438146123085,262.48143184228695,271.14615650666065,272.2962229522593,278.57787135756496,271.5550477862795,269.47654025458587,276.37608119419644,273.9504181019989,266.5268972767141,277.009283380194,271.37372541602275,270.47704731588396,271.06119523380266,278.6784502525469,274.4954724434094,269.33371620038486,277.36902011969147,268.61013179122307,274.41082271813474,270.312258206881,274.5108907510946,273.9196090977707,276.70297263568136,272.17973176725616,268.5481842376373,272.33273170107884,271.3404589083605,276.11105301965284,275.90512118496736,278.9635280287746,272.1958194495121,270.1468980949877,270.15126277937554,278.0803226009829,272.88976257100643,273.1017323029347,275.45223954309034,276.5993075527988,279.9680880033053
5,270.1192936600346,272.1410948365599,268.9486211420416,270.53982789874516,266.685781178457,268.22458109314186,260.8565011496072,274.6285230475904,276.3319796048678,272.6979009048406,275.21319155291326,270.94071843073914,272.0413916731055,267.0971044743017,270.9986016689203,272.53848769638563,274.30424985780814,272.8624635354066,273.365239070012,275.14155874846176,274.0927300645318,268.8770304809123,274.5088609408983,266.5074823959406,271.8608122326079,270.53726699326063,269.6418765560611,268.2221334268758,267.99636360140505,272.376216567043,267.59940257089914,273.4183435684595,272.8249766590831,273.9318212711768,275.06813513228303,275.5259969522665,274.2749516413762,272.61302671327695,263.60216586493743,269.17967430925194,271.2158763172862,274.35651529053627,275.05308996626746,273.3861759171818,261.24704605493787,270.8666795444139,270.47764145847646,278.6394832177913,271.67550122606883,269.0039758926783,276.5680111616086,274.6226065499442,267.561538305038,277.85128035213484,270.5579418140453,270.82436317751257,271.81306172465224,278.65917801071,274.8871437603737,269.7441664475661,278.9047496083018,268.8590471316606,273.11312687353336,269.8687622293884,274.91871771620305,273.7204154996208,276.4509535569411,272.7788563263722,268.29388908414177,271.55170113699774,272.7281985999027,276.2672676952767,276.0750596042954,279.14015840523405,273.0477130596454,270.4469781114068,269.50963550609544,278.300544375465,272.51490878709507,272.98990225879265,275.17297206780853,275.3968456673535,279.68137904575894
6,269.5228023319454,271.477057711982,268.55547872131126,271.0966625842419,266.50058341113635,268.52877069829583,260.5128233633635,275.44366376827924,275.72939593975354,273.4296233348357,275.27039915650755,270.78165947211966,271.7202932057363,266.59028027433175,271.90984693813675,272.3927895123269,274.0132390396062,273.0385027874957,272.845961238875,274.53001767113096,274.07267733283965,267.5675216507126,274.8130404853122,266.0905503493089,271.69286762838396,269.21127576443735,268.3223240890782,267.24172068166206,268.64981671567364,272.1503777696099,268.0613278119992,273.6718601324619,272.72159003512763,274.0590562086839,274.6572160546159,275.0629316057478,273.6958612574762,272.09048685486067,264.89463582580345,269.3020468910972,269.93979094229337,273.07187113220436,275.18806619609234,272.69151658278247,260.73846826797876,270.9541412465302,269.05326088706215,278.31511467455067,271.82141269781647,268.81986379099413,277.1113447811141,275.29973985161973,269.0255496964786,278.8452388777401,270.03922112433463,271.31290231781566,272.35422770182294,278.3635607150011,274.9286615280878,269.684814453125,279.3858625810225,268.79044696961563,271.4400101546403,270.02507684169666,275.17472632551363,273.0016007755265,276.95490083240327,273.2451409979181,267.7514319786659,271.32374779558006,274.02605619884673,275.9813422458076,276.28208727714343,279.13712252103363,273.5161319495121,271.1980319180331,268.899408920344,278.8822826343578,272.44387023702205,273.2256810673864,274.3759580060239,274.4642908564417,279.4420125772665
7,268.5357177510803,270.592048505287,267.8404856252146,271.68846739604794,266.6421571389223,269.59298963162485,260.41280764625185,275.58020086602846,274.6931839827653,274.0182049091045,275.0229631920001,270.744878859747,271.0628026047032,266.2642301342862,272.5782649560726,272.4525168841575,273.68570080432266,273.44155369573457,271.92744350782675,273.25987562242443,273.6039865794199,267.7581140986292,274.65698409866496,265.40244379847036,271.44429357060585,268.0255386296646,266.8698958512191,267.05291781582673,268.3615290044428,272.178945240957,268.3890792231856,273.83026972620473,272.4117151057764,274.0071158496452,274.3775637001345,274.3307520827968,273.6378657861507,271.17772476140397,266.49129505646533,269.7191162109375,268.19946266705296,271.8374411334921,275.05255149310324,270.97735428024123,260.39787163926565,270.1775568588313,268.91593972230567,277.35011051164,272.40645702767284,268.60719394334507,277.35230911869706,276.00262261135674,270.2604339934967,279.7067771604209,270.0398274516011,272.0182686271248,272.80128182771006,277.923579960079,274.58275674114293,269.8789288307721,279.43147864708527,269.0168038951608,269.44500631814475,270.5285189562228,275.3834415198246,272.09405841757524,277.84066727746534,273.76593733008525,267.3755163395361,271.951895577567,275.29927225077984,275.60937421749804,276.3907988272307,279.22692222734946,274.32265821743357,272.4675224779289,267.9765963711581,279.41851694854626,272.5633125724373,273.4846362438831,273.5982782273065,273.84382500840627,279.1225756970081
8,267.426527980483,269.65710840469745,266.95016233562984,272.0885753142528,266.8135990799565,270.9873333047161,261.07807598183877,275.5377615345267,273.8125849573603,274.28847271706155,275.1504695459163,271.08564931569083,270.75030797043127,266.1280212402343,273.0717654944339,273.046392755194,273.61986063862895,274.11461586305944,271.2896293668083,271.5699523255065,273.43398667779155,268.8715206607357,273.8389970828325,264.9430478274167,271.2935850262205,267.00126608824115,266.04521017109516,266.3250042702252,267.3843284299522,272.4366950290107,269.2461666344723,273.97397700159536,272.0187301915207,273.72028124463424,274.5521808107257,274.30883230132497,274.06872290307354,270.6831753350003,267.7039293002733,270.22977332929116,266.833744482243,270.74183481516854,274.58020343710655,269.5680224519946,259.6237079774067,269.64106890220785,268.6108892531622,276.6717523707575,273.25521112798333,268.5863335577996,277.48192822802196,276.51644148494734,271.87704322451634,280.105218796503,270.50109662066444,273.1483487419156,272.9660160497868,277.2276903089586,274.4968968206273,270.3710579784798,279.7733428172576,269.8872466034942,267.63802765227933,271.29667099054916,275.415286668491,271.3087434314546,278.71075942490125,274.45038959656875,267.46105196886447,272.7019450987652,276.6537399571457,275.10369660653475,276.2054604331216,279.2087128468049,274.5941224709535,274.49333084721263,266.93082671113063,279.6351436852535,272.6806922325721,273.54041466346155,272.7136461865771,272.7311876457689,278.40153844365267
9,266.6119456308665,268.06108042958016,266.78704554519373,272.57199610895293,266.59439478165064,272.5701758975074,263.24080001216225,275.4455338362809,273.0801534687643,274.1125791221311,275.58895996988036,271.8650527227492,270.7736933781551,266.46777544964795,274.08043729341944,273.4457763001159,273.47569392277643,275.0092983595181,271.22167979928605,270.15310814267116,273.3661664466718,270.2776214264251,272.2614657782809,264.6793766231327,271.58932439224185,266.4683925083705,266.06191983065764,265.28654586177163,266.54724981845953,272.1441443586524,269.68936313726965,273.94050614912425,271.7455648904318,273.60338494716547,274.8880350301554,274.90076432559954,274.60805391304655,271.5100621932592,268.35780082954153,269.9284206292568,266.2119410029261,270.02125174833304,274.1852112934266,268.4821628668369,259.12820714035314,269.9375287290021,267.27848374363265,275.82165393200546,274.0531640803857,268.73303971622454,277.81810919793094,276.5438948970138,273.9714046939389,280.24890762720355,270.8515586992759,274.7666488479782,272.8546728336767,276.68325760949665,274.5052363916194,270.5423643230955,279.473648686112,270.32674667861437,265.7217809656164,272.42410848428915,275.2482141068567,270.6610907809638,279.35035588191107,275.485601404211,267.43838076189763,273.0106975848858,277.886963561341,274.8542243482429,275.28800522800765,278.77447956909623,274.7790357429029,275.6792619306962,266.9506018781836,279.2589384085966,272.82314258617356,273.342532315097,271.7151404300452,271.2568647782881,278.0018357496995
10,265.42430813408595,266.27184410234946,266.99054860544726,273.4808356316535,266.2587205376817,273.53858472663404,265.5866281698038,275.71119516673104,272.68740431118357,273.75988232958446,276.0887260017814,272.267333537231,270.4249045123984,266.90862075749766,275.1276163513407,274.1154229579828,272.99200025844925,275.19286997589,270.6923440227578,269.07965210855224,273.265384101169,272.08278043977504,270.3360348656064,265.07855213430776,272.2738267388536,266.4738487830529,265.74566538604626,263.28295579847395,266.8953226948832,272.3080193935296,269.82323559212597,273.4248867384243,271.57022564227765,273.33663135570487,274.612308823582,275.1589033525069,274.380875248612,272.6708529405978,268.97973129775494,268.95851252629205,266.3930419251159,268.4354616940676,273.56372830457303,268.29366215856083,260.2239566565433,270.14953725067255,265.5084397312486,274.4256197192293,274.59567786136387,268.85224886604277,278.14722998762306,276.3214968726748,275.64359683082216,279.77381433060754,271.0749070164048,275.9386921976949,272.7916409558866,276.3651400276156,274.460687546503,270.4310114933894,277.8982342730511,270.3101312546503,264.6747563959478,273.7891436566363,274.9523228236607,269.8960703196543,279.486816294464,275.81157430013025,267.6389933715373,273.12286969418926,278.6248792711195,274.71982292203234,274.52442691789,278.47041259318473,275.40167213970926,276.2248787792611,267.99636449569306,278.4434111319182,273.0940233167711,273.52813027629924,271.161863334013,270.68919881184894,277.7719369965158
