Year,1,2,3,4,5,6,7,8,9,10,11,12
1940,264.7267635020468,268.076292296469,275.72812906901044,281.9985692733373,286.07454086316335,289.50841150528345,291.25306672631854,288.84838496130095,287.4551129202558,282.09652439871536,278.2833429059412,265.286381282128
1941,269.12176321832675,273.1691935612605,276.95534859303115,280.59168855063933,283.8631044550313,289.95903935880744,291.65906347333157,290.1962484228798,285.6537957868005,280.84938290377505,273.47490190033216,270.8133126661933
1942,263.78045830990874,269.14835723765174,275.4092474370282,279.9947784423828,286.505605188059,289.7558871016543,291.13297551283665,291.631336120656,290.8876027164296,284.6551913252737,276.2572471423027,275.23960920638336
1943,269.3713871882512,274.5199043916695,278.3141391902447,282.90494045681424,286.0668121161196,288.4375231359758,291.3252659396163,293.15051504281854,288.9708882388905,284.1223437086031,275.6336975880158,274.4938098033467
1944,273.65806300665747,271.2042763958047,273.7392384266439,282.4518642849392,285.48302722864645,288.82793910360743,291.3355304979904,292.8664874636112,287.4206572703826,282.60955825692076,276.1428158230252,271.08449875647807
1945,266.1849633304416,273.2099809751406,277.6887956718653,282.31954097910824,288.43566750651854,291.0928605038896,292.80646958520737,291.6806142600338,288.2393997583634,282.5334623603411,275.5012790777745,272.7691945217186
1946,268.83145346061764,273.5146933475257,278.0214176099097,283.55789145445215,288.05314849525365,290.55547485351565,293.72556932826393,293.97161231660175,289.93522271050347,280.66507740509815,276.8545183752337,268.20017798386687
1947,265.1458550414534,270.43856473370784,277.4876615084135,283.71327063405613,287.63738996002473,290.97359538282086,293.28402904324344,292.3497203135904,291.08535195375106,281.58206378693814,278.4429423796825,272.5403426227932
1948,274.3286400630121,271.58756957560666,277.24006341093326,282.10597656771665,287.071046234459,288.5213159023187,289.22161786984174,291.26195918005095,288.0878715319511,282.8488164228088,276.80791714660126,271.87686899341367
1949,273.8227157403458,274.9184105282738,275.75407315010466,284.1938539423494,286.0557933772665,288.55751676640955,291.679947290665,291.3127620372031,289.7391103891226,284.3722278730646,277.7943513527895,274.7115068837963
1950,270.0351382272119,274.97631880651903,279.0521064550054,281.58360893053884,288.2020077385915,292.6374541453826,295.1841409965622,293.667250993727,288.5713398207966,281.46106007515255,277.60799769214077,273.5194890958598
1951,274.48627029557775,276.0407858209295,276.85139183883734,281.77947061652804,286.1805502715635,290.1342762743306,291.8221611483616,292.4182009511589,289.8318030724159,281.5973942380389,280.1351284190121,275.0101815374357
1952,270.90214931087326,271.5513442042983,275.17320497574343,284.5059354602781,286.4723771996889,291.204004036667,294.1988846468866,293.5564427782032,286.15362551436465,282.4227065219674,276.4666997665014,272.42604303478305
1953,270.2725338868803,272.17453573038284,277.1211551637863,283.2826852130075,286.4548653096972,289.94507767114885,292.586413488396,290.5589617278775,288.43842929937904,284.6154084438327,275.8012361966647,274.6443590238333
1954,267.41307826393194,267.9612400208637,278.5541019108397,280.69351282364283,285.8176837981093,291.2882473676633,290.1904091405119,290.8199082241264,288.8015904614049,282.32933351123904,277.77434812366454,275.98158058437855
1955,273.1082807592955,274.3001471439124,274.206802431269,280.4568965553218,285.1866551502566,289.33243142152446,291.46605372527495,290.2795067874728,287.50488758576216,282.31637022966584,276.6261146741035,275.7646585343001
