Day_of_year,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,3.6185720578218117,11.86490790049235,5.83325118284959,5.497566920060378,3.211431650015024,4.862324904172849,5.144308878825261,5.3723859420189495,3.661915455109034,9.519170455443554,3.137147536644569,7.251991871075752,11.006358806903545,13.878979071592672,5.81955388876108,4.72245995203654,6.434950143862993,12.891045888264975,6.998651467836821,9.076937871101576,9.340490353413117,10.997833863282816,19.385797035999786,13.340931281065329,5.686505091496003,8.661513157379932,10.290339005299103,10.302131212674654,8.467274934817583,3.587273353185409,7.685045865865854,6.953319317255264,12.581791510948769,14.746687351128994,14.971813201904297,11.437281779753857,11.783986482864771,14.823791137108437,5.5946263411106205,9.448677845490284,4.310184435966687,7.179567055824475,16.92538823836889,8.41453920266567,10.713546875195625,5.876500582083677,9.591887608552591,12.494881947835287,11.392533131134815,8.655382046332726,5.66784573212648,14.601648330688477,6.255552683121119,3.2103108870677457,14.354922563601763,11.335830529530844,12.567639032999674,10.51332194988544,11.7876372948671,10.69327002305251,6.449580987294515,6.034645459590814,2.875434016570067,8.780933698018393,9.084554329896585,9.081736809168106,15.15115901751396,16.278001320667755,4.9618131931011495,9.682907410157032,14.096636674343012,7.994459201128055,12.805760994935648,6.438233216603597,8.898982329246325,11.351423239096617,9.785685465886043,4.068466333242563,15.0570157124446,9.126958211263021,6.576821363889254,10.559791442675468,9.4800461377853,15.974961574261005,11.007393800295317
2,2.0085252951353025,13.679438419831104,7.221127620110145,8.655176517290947,10.032111901503344,4.5178489440526715,4.464216703023666,6.486013485835149,9.269339622595371,13.571830407167093,4.912683908755962,11.20851514278314,7.3528325741107645,12.079367588727902,2.9685787665538297,3.635305569722102,9.012609494038117,15.901181905697554,7.012323782994197,10.653948233677792,11.323052822015224,12.336637350229116,17.48380255087828,12.997843962449293,6.306169534340883,14.741587614401793,9.030671510940943,12.131812071188902,6.3926490514706344,8.848366272755158,6.990416086637056,8.180440682631273,9.640663856115097,15.574954350789389,13.451654091859476,9.16912668179243,12.413799921671549,16.36588986714681,7.527820195907202,2.3995973146878757,4.155664034378835,6.319750235630916,10.330585602002266,9.875992322579409,9.492158889770508,5.248612422209519,10.557986821883764,12.795603287525665,12.673536716363369,9.036983489990234,5.729503497099265,8.994086901346842,6.768613155071552,3.6078688425895495,6.926063464238093,4.3661827857677755,11.180004046513485,11.721197299468212,13.154491106669107,14.427037728138458,8.663587178939428,12.663743288089067,3.8760639398525925,13.26674534724309,7.0782390252137795,9.130347948807936,11.5199250685863,9.435266176859537,5.2440119706667385,6.376987591767922,9.756221392215826,8.178388412182148,13.579317312974196,12.227489618154673,11.19687711275541,12.441585222880045,10.733153905623999,6.674206831516364,8.56973374195588,5.416895377330291,4.802985723202045,13.589397577139048,8.355916316692646,13.361795841119228,11.787675417386568
3,3.8942314233535376,16.32586261553642,8.132649800716303,5.0834811834188605,4.866944160216894,3.8212624268654065,3.318498978248009,6.398747248527331,14.212343093676445,16.68101183573405,7.464703645461645,14.188401124416254,9.850189734727909,8.652811612838354,3.163872920549833,8.157683482536903,8.221221471444155,14.009603793804462,8.37579223437187,10.771010398864746,12.76998387850248,10.929614776220077,11.781753857930502,17.49032504741962,4.471747728494497,10.692637284596762,8.482947887518467,7.775279754247421,3.9157109627356896,8.62936203296368,7.4181312292050094,7.314518121572641,14.733116223261906,13.55999357272417,12.122489073337652,9.179804166158041,10.599566056178165,16.80858149895301,10.01923479178013,2.244094579647749,3.5435087986481495,11.714340112148188,11.377029223319811,10.746450986617651,12.536337559039776,3.935605140832754,9.927038999704214,5.669039383912698,13.681525915096968,4.476552889897273,6.142439328707182,14.256203651428223,5.301238934199016,5.270504266787798,8.140237343616974,4.10341067191882,7.511415261488694,14.353648674793732,14.982115036401993,13.435726752647987,5.699780415265988,13.484066914289425,2.615321064606691,7.756991569812481,4.5185197194417315,6.588747330200978,8.19813459347456,6.1656203514490375,7.913150970752422,3.2264318894117308,3.5419055926494107,3.981283053373679,14.702026807344877,11.26300721290784,13.235952255053398,11.939254198318872,10.471791658646021,6.479290974445832,9.18192353615394,3.87497485600985,6.841800579657922,11.163279912410639,11.984231875492977,17.30497506948618,11.926352231930464
4,7.9485799838335085,11.718960468585674,8.090817268078144,3.8883774953010755,6.565356633602044,4.574544924956101,3.4131200986030774,2.5633787436363025,11.608794261247684,16.110305174803123,6.000318820659931,12.624195832472582,7.0856338036366,6.851366079770601,5.230033030876746,13.917547054779835,6.027504028418125,9.750066072512896,6.440353821485471,5.689943662056556,11.223490849519388,14.314175801399427,5.5963511772644825,10.622511203472431,5.065615965769841,7.20843077928592,5.120865620099581,4.572601263339703,5.331837446261675,9.223833952194605,10.73618822831374,6.015335755470471,11.973058199271177,11.252083582755846,11.154929540096186,8.057345475905981,4.35323182741801,15.404051316090118,6.624310456789457,4.216457275243906,2.89672904748183,11.287074199089638,11.619264138050568,12.587608924278847,11.412060578664144,3.5985436928577914,9.597162686861479,3.8529183130997877,10.002516318590214,4.465700852565276,4.741565826611641,12.070358203007626,7.254138750907702,5.2030965731694145,15.73006331614959,4.767423091790615,4.6155162285535765,12.802698208735539,9.212527079459948,11.433208123231546,4.06684136390686,11.475660373003056,3.226872217960847,10.600668075757149,3.7570133942824144,8.65156654211191,7.767271873278496,12.288088627350636,9.204295231745792,4.25461455491873,6.754662648225442,4.264122394415049,11.196510461660532,12.95100691379645,17.833621465242825,5.98807028012398,9.74342525922335,7.716355776175474,11.217007416945238,5.21383166924501,9.41409435027685,10.723299784538073,14.890178973858173,13.67507389264229,8.257759216504219
5,6.527853916852902,7.573455089177841,8.888968015328432,3.360781015493931,4.080991702202039,6.898154698885405,2.514827407323397,1.8756893475850422,13.382488764249361,15.134374594077086,7.901301127213698,11.296425183614096,4.746671823354868,7.9149435850290155,7.626514862745236,11.46742771833371,12.267592234489245,14.026963698558319,9.602245942140238,4.358092705408732,8.634576650766226,8.69558949348254,3.240101863176395,12.292951486049555,3.394895321283585,5.563625127841265,3.28116015287546,5.516474589323386,7.425432523091634,10.258211160317446,17.172984221042732,9.263215761918287,9.207663829510029,9.686367230537611,10.372796792250414,12.147373639620268,8.511446977273012,15.108373959859213,3.4450567257709994,3.028247218865615,10.432295652536245,4.349086144031623,11.790449778238932,13.709051058842586,5.6284819321754656,3.5635885275327244,4.98184313529577,8.09789591569167,12.437642513177334,5.353405970793504,3.8756553393143873,12.561023247547638,10.36139485774896,3.38203119008969,10.440655512687487,6.1537274825267305,4.776351103415856,10.93766650175437,8.861545905088766,12.006577345041128,7.830704554533347,12.941460682795597,5.549230685600867,9.877785829397348,5.201762443933731,5.868207069543692,10.394558747609457,9.68706725193904,13.598896662394205,5.018957492632744,10.924370692326473,5.127670312539125,9.793509764549059,12.031524022420248,19.086579885238255,7.039336057809683,9.25119283871773,3.832329572775425,16.234704066545536,8.67289940516154,5.179682939480513,9.820380027477558,15.961667598822178,13.368005459125225,13.868775905706944
6,4.042413766567524,6.424812329121125,9.196351026877378,4.747466209607246,2.8179258688902245,9.567385392311293,3.6455211517138357,3.2349783946306276,9.164714886591984,10.775049967643541,8.926105682666485,10.218238512674967,4.8303336546971245,9.444580273750502,6.6890842486650515,10.855363161135942,6.793976380274846,13.726100970537235,11.936238777943146,7.6617171825506745,8.858939879979843,6.213388601938884,3.6834675654386864,13.493442119696201,4.043730888611231,7.734790105086106,2.5872776752863174,7.325400376931215,9.066779112204527,8.71458014463767,15.07187505868765,8.819751531649858,8.799974881685698,9.546906006641876,13.220936921926645,12.586199760437012,10.757942700997377,13.213201742905836,5.360326974819868,4.1109894544650345,10.091138191712208,4.289086574163193,11.204450778472118,14.75491562867776,4.864014050899407,1.9210005968044965,8.209353214655167,7.054372347318209,12.845170192229443,8.932195370013897,3.388540433003352,8.764377875205797,11.22579613710061,6.04919198843149,12.666347748193985,5.759664119818272,12.114164743667994,10.481498278104342,8.655494665488218,7.482930892553085,7.628495216369629,20.25909086374136,3.152306758440458,7.565790078578851,6.083057831495236,7.900270303090413,11.518243276155912,12.107208447578627,12.892260453639887,6.093803246815999,11.10994123801207,10.066567555452005,5.09018290348542,12.758132176521498,13.370638040395884,8.130504290262857,10.812083806747046,1.8289119066336217,13.897867007133287,7.827158671159011,6.439279421781882,8.940108323708559,8.012356794797457,10.304626709375626,19.126162235553448
7,3.426742437558296,7.919347677475367,10.299375118353428,5.501114185039814,7.458391372974102,7.594834376604129,3.108410126123673,3.0154143969217935,17.336104882069122,9.07137023485624,7.916333577571771,8.609764722677378,7.2660292111910305,8.651977147811499,7.169296668126033,14.0509555767744,5.61677334858821,6.124227572710086,9.480781836387438,13.092177439958622,6.594555622492081,9.476158765646128,6.093574597285344,15.553691350496733,5.799736842131003,8.030790170033773,4.597446258251484,5.7943815512534895,8.410295999967135,7.274776654365735,10.830364753038456,8.056033256726387,10.351117378626114,11.195464647733248,9.814593107272417,11.216981765551445,8.976625687036758,12.132570499028915,9.067257930070927,3.5207416033133483,7.671829932775253,3.340924079601581,3.7200373319479136,12.589895859742777,6.343453174982315,2.148364241306598,7.251315838251358,4.519991214458759,16.735483952057667,10.711286275814741,2.4558472419396424,13.426386931003668,8.328740058801113,12.99239566998604,13.253329228132198,5.816891486828144,16.74571956732334,10.382871847886305,10.392709047366411,7.262701988220215,8.862037805410532,20.433189538808968,5.91475090613732,8.822229788853573,8.402747875604874,9.183341882167719,8.861481972229786,11.609019670730982,11.632580708234737,8.040418575971554,8.801121577238424,15.866687627939077,7.046560984391433,11.350394640213404,14.907320853991386,8.709873077196953,8.155056317647299,2.721858580907186,13.966124314528246,8.686338669214493,7.540240006569104,7.742667907323593,3.6162667091076193,9.76894097450452,14.45113998804337
8,4.890947574224228,7.506633428426889,9.853128005296757,10.01258781628731,8.022331250019562,6.299712945253421,2.9519196229103284,5.460509495857434,14.025490125020346,9.095993873400566,6.659138361612956,8.036429735330435,8.63094334724622,7.834208256159073,5.454408388871413,13.530063360165327,6.883707327720447,6.6012169275528345,5.290888627370198,10.010521252950033,8.247309513581104,7.660385645352877,4.382769334010589,12.693613052368164,5.636834162932176,10.173595355107235,4.683058971013779,5.251433727068779,3.339848585617848,9.261078883440067,4.049796954179421,6.84051651832385,11.358329283885467,9.11679580884102,9.558614999820024,8.6643770413521,10.57826042175293,7.159890468303974,6.711312183967004,6.091779916714399,6.3611806478255835,2.30230198151026,4.958714607434395,10.457965080554668,10.061180505997095,3.138487082261306,7.0058458890670385,2.035953680674235,7.959629462315486,12.222954896780161,3.897264547837086,13.196711784754044,8.78755553563436,12.857738690498548,15.961160219632662,5.880215614269941,18.5176390623435,7.729199507297614,8.255604805090488,12.951085701966898,8.800600834381886,17.552732003040802,7.341048118395683,6.297672662979517,7.679403757437681,5.613635472762279,6.199586672660632,12.686351580497545,7.1664886107811565,5.354415490077092,15.763905500754332,14.393248631403996,6.874932374709692,12.673053203484951,13.15783845461332,11.347922056149214,13.490439072633402,5.414450767712715,13.812759252694937,8.972599604190924,6.706683770204202,7.231344565367087,4.799771883548835,13.314886239858774,10.41928839072203
9,6.056742545885918,5.824070722628862,7.462984794225449,4.53915548324585,9.064666430155436,5.057102722999377,4.793149776947804,7.518896457476494,5.264676191867927,10.923312859657484,8.036081289633726,8.975280749492157,7.500846239236685,7.336148518782395,3.9799496699602175,11.33675438318497,7.144649982452393,3.815624469365829,8.194198559492062,5.579583754906287,8.472713776123829,7.671399776752178,5.585162321726481,10.642763529068384,5.181495128533779,11.116790942656689,5.690293434338692,4.767693434006128,3.6929896611433763,10.51535894931891,11.639737373743301,7.128749859638703,12.042426549471342,7.521537255018186,10.327373700264173,4.577362855275472,6.972546980931209,8.155879656473795,6.360757277562068,15.026977465702938,6.131798829787817,1.8585726144986274,9.499334775484526,5.754053121958023,7.699286142985026,4.289211383232703,9.728173023615128,5.677611962342874,5.891180197397868,10.46852838076078,6.376845989471827,8.941123204353529,13.878191238794571,10.645329707708115,15.199838222601475,5.845562873742519,12.291810634808662,11.657323935093023,6.7217613244668035,10.104393494434845,9.364572341625507,9.138206457480406,8.32305415471395,9.326374237353985,11.760502350636017,9.156647474337847,4.6473548412323,15.044608067243527,9.443876242026304,3.8349240651497474,13.195275942484537,11.709954481858473,7.5548481452159395,11.94907496525691,12.079058206998385,11.378762954320663,18.84937012501252,5.279198683225191,17.820309052100548,6.336642216413449,10.96025755466559,5.932295035093259,7.92078299400134,16.50195190234062,7.9958804570711575
10,4.2059243336702,4.828249142720149,6.7332994265434065,2.806327236004365,10.65053969163161,5.678642327968891,11.516600095308744,8.81700321344229,8.43136652922019,8.09016620195829,10.094952681125738,9.844860993898832,9.356947666559464,5.48709685374529,4.031912950369028,8.485827323717949,12.690221493060772,5.931414616413606,7.189830535497421,4.194559947038308,3.993721527931018,7.1904403368632,10.272024142436493,12.376732972952036,6.532448634123191,7.854472686082889,5.872631268623548,4.044199448365432,5.142933466495612,7.480630801274226,16.812585194905598,9.671716445531601,13.577113469441732,6.996100364587246,11.871596238551996,7.193988274305295,7.500856277270195,9.834301300537891,8.427566063709747,11.661956591483873,6.145295833929991,2.887824963300656,9.989528215848482,6.757233876448411,4.59975868005019,3.6628406598017764,5.525372248429519,11.024021173134829,5.2335570469880714,10.347825270432692,6.1683513812529736,12.288142913427109,13.931921005249023,9.775450865427652,13.310939250848232,6.765893471546662,13.467834497109438,12.592025879101875,6.762838852711213,9.008564936809051,8.56448008463933,10.97198598812788,9.08192813090789,7.722135678315774,7.80741513081086,10.653280893961588,6.686634870675894,17.159930253640198,9.956450865818905,4.179914358334663,9.77014195613372,15.790956986256134,7.661237716674805,10.568577852004614,12.756094443492401,12.9318816111638,15.27772208971855,3.6586841497665796,12.146165114182692,6.517963605049329,6.9576383370619554,8.151192200489533,8.281153568854698,8.25205582838792,6.446155059031951
