Day_of_year,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,6.187148002674996,6.897448497532417,8.099782678191577,8.735267383979313,5.851968265250263,8.853345389894653,6.206847748843178,10.003719450325093,8.008184376287499,8.387912357415514,9.204202529514399,8.551896789233677,7.950747870728435,7.509590589280361,9.545621065979066,9.650897460697703,7.9441969459760875,8.660773614697263,10.218553617830805,9.336102437933581,9.447104892423075,9.46077795064183,8.736961276103289,7.29035084241673,10.936071480671366,8.529198054344423,8.092099521059552,7.404179148283548,8.494671261142955,10.358712759365021,8.758109870875936,10.662072814329289,9.367182293048666,11.619799046007635,9.214275007113827,9.277296717448902,10.647255939920644,8.763266323813728,8.818624967282425,8.287889876969103,7.690815310620197,9.518341024815296,9.925859293137037,10.099095595385833,7.227890786402869,9.269383816013068,7.155267622177023,10.985975004997602,8.776591567385779,8.387159203280092,10.405108649440793,8.683681123605734,7.902551860627899,11.077587524655439,8.20704316875972,11.82346140372053,10.299491672056385,11.094837381979765,9.13743685512527,7.3098655997277096,9.940585159880746,6.360349221896099,9.900905782866813,8.750375414111577,8.11439835206845,7.378184915081936,9.908969049319637,8.792891767026966,7.693218980277245,10.12679686183472,10.427166408108127,8.368027243562924,10.33588150811649,12.64389657402354,9.067549387613932,10.021298381097065,6.4574040953436596,10.295064897947414,8.269196603394816,9.268499624837617,10.248452291890942,9.426155454171798,12.887505410425518,10.299553067157643
2,6.297318661380544,6.619227620961746,7.800625388636088,8.72426137024948,5.757873756713962,8.65189979932247,6.336257947881524,10.261922974148696,8.083804823230178,8.447312310079191,9.183217187673224,8.506802747622316,7.8225103108916425,7.494422831152765,9.666430212230697,9.561162290344365,7.8012838042206365,8.664302400954998,9.868482389560508,9.341712438143215,9.134575309982175,9.561580997937172,8.655076708943515,7.244052123983996,10.667978599507322,8.393514070163786,8.074173846453846,7.474030263370675,8.550324847424099,10.483678033472192,8.908892848848605,10.705380449618456,9.365727050724455,11.590770703687266,9.257596927403023,8.88399928615939,10.325494523281101,8.947025287240077,8.597796171238048,8.308481272830758,7.509302111180782,9.420009441667592,9.75306107092732,10.066526548639619,6.9055385391410455,9.104848699987773,7.258101734472168,10.955736243695243,8.92335678369571,8.121474133630347,10.287734177607557,8.64713255071364,7.8864141739134554,11.084377526842532,8.141199609876368,11.431554426231887,10.226014125780983,11.097880230155042,9.031530549252103,7.432812762122395,9.940827839624989,6.433827001462799,9.717554276397742,8.921632532150515,7.806897840981053,7.485856351229255,9.809728594828087,9.1377018486004,7.473812855108401,10.269815256814507,10.493445723583324,8.327007977798814,10.235662254841492,13.064264572386508,9.136851339916042,9.710489520364009,6.512096810774728,10.350808547290523,8.405637922121336,9.070372570044151,10.031571531414098,9.460823732530704,12.899881657339305,10.480629348084392
3,6.261094045303793,6.3408431241687815,7.409645815641058,8.651046118724434,5.521899060733659,8.564518785062557,6.479786301467712,10.450959136606347,8.20687713388375,8.614220171550564,9.259149123658021,8.497270163077772,7.692867089146124,7.346859674004112,9.83681738603401,9.859355435477887,7.668030031364353,8.767138956596874,9.72386921586036,9.192418955888899,8.675609987860774,9.651978690728754,8.618567110685596,7.271101821247854,10.381258007709008,8.035911284171421,7.858872604922286,7.645840098583767,8.338802295839422,10.360417408426503,9.027204154245709,10.815757448560841,9.501793050489907,11.610498131356819,9.477160710554857,8.763006075834616,9.948327922347758,9.046346283432271,8.412121289717057,8.289923113766932,7.384038541709421,9.150531342248467,9.391671335726754,9.880418916691227,6.637572573570301,8.923168823283206,7.395847885543596,10.75899450260317,8.973156651551314,8.017486540811728,10.141348109943399,8.590597772519386,7.916008705339518,10.914484167808931,8.072525719160673,11.062012295667744,10.019421198379904,10.714484164101512,9.106206278449942,7.3530903197794135,10.039954295722387,6.478915381766825,9.669209102247251,8.988458095945731,7.75852475943301,7.664202905864731,9.80738876790819,9.370230198695307,7.401426359185313,10.394093846762052,10.604077122446128,8.397655418039452,10.193919831805232,13.490277139681048,9.019445589695025,9.403197583529058,6.505920715328086,10.414094539789053,8.530088173445835,8.930483215795853,9.830512255849278,9.434413258550183,13.065543574277186,10.764721948712005
4,6.416040451000109,6.1081982514797115,7.069813540496542,8.581374970223907,5.381016961496856,8.53244542414931,6.57385690730894,10.7073026638173,8.334554761081218,8.520045211435448,9.27217980866791,8.335501069367869,7.667894977099447,7.183608109937214,9.759035786880355,9.993610261391765,7.583751906335009,8.846525171160007,9.5695566596622,9.02872959220577,8.397119418661687,9.827940094461118,8.710108945249427,7.131733032570484,10.054225741387203,7.8102503162065355,7.738972310491393,7.688592573943662,8.392998465829097,10.20275786615187,9.242741575312081,10.983529450579848,9.597034965890611,11.776377779279887,9.711300024816673,8.835678641908519,9.581496615366465,9.214267734854156,8.146348137121933,8.312542487413456,7.17367223030876,8.988879027299589,9.314512910677244,9.531902160202797,6.438971274445331,8.989834962155427,7.375238446779148,10.683605087799313,8.923279268668642,7.630415107022641,10.084415859777735,8.577542012540441,8.017784782240861,10.60213679326675,8.10962069754368,10.884509411501035,9.908381961760588,10.541538312476563,9.113834968177219,6.978749571209411,10.027624130446226,6.554656091260949,9.708000998343191,8.91345732551256,7.794694627583569,7.689454723134132,10.006359396146486,9.58042380314804,7.433622951937472,10.452385139820297,10.797019792253858,8.523773022187061,10.23309513988132,13.772323171790717,8.842909802672683,9.175020998031073,6.452400969808214,10.617255763045218,8.50754937344686,8.62439569034687,9.68752631241867,9.396836991740022,12.997887327811066,10.89644994944753
5,6.655347976041687,5.882437181433337,6.711322442769413,8.32156949559946,5.283874893010994,8.477501032370196,6.542688812471994,10.893705874854026,8.395381470866397,8.47002374997703,9.384836437290023,8.185170498832974,7.549542530989035,6.943998009434804,9.529755104860065,9.856971203146935,7.474025084520787,9.006114279563215,9.337023695014151,8.947067174761624,8.104551717897799,9.923056098032431,8.814046360324294,6.93947166367145,9.813581836627868,7.543042229659504,7.68062853162401,7.850743397491049,8.398152093437705,10.153806292389522,9.511759103281229,10.920121791640819,9.727278305145212,11.697216012243203,9.802698687150322,8.991617293275024,9.411310674732041,9.380213037811103,8.148186681978558,8.366252085115418,6.961000837601345,9.068619847593471,9.094394831740235,9.406024730136515,6.339730213356965,8.995645971511196,7.510884124844207,10.687419609948561,8.963996181022637,7.423347309367335,10.058163515292879,8.501635400592246,8.028148543252936,10.377264075184577,7.980429773393794,10.7740303445592,9.813315537027133,10.253902515958814,8.965538059807296,6.887263819045326,10.171660759115731,6.6133534318657325,9.788271938699449,8.899712536234418,7.930089281845723,7.762660222964605,10.311829964122662,9.632591190764092,7.654462349030279,10.553183310479541,10.71285506000787,8.65775602686198,10.602706930083219,13.85282837092334,8.819100608305067,9.063432903305571,6.408408877571522,10.61975098602825,8.359894975736381,8.295708056024722,9.560734148948423,9.475585336622075,12.796845921610288,10.671917982787708
6,6.825014850046143,5.675324463864019,6.5120198349010066,8.405117572093424,5.285820262406462,8.329113834943527,6.4769351628321665,11.031114365464898,8.49046491304639,8.239290087157976,9.393924004978341,8.125528636897666,7.434565191726432,6.9538305935729525,9.330037798341195,9.875320854612971,7.340133956880782,9.178172306347918,9.21285773250463,8.757285543667374,7.855497517498984,9.933522875985396,8.724269922357438,6.850635985681299,9.666786442718001,7.3365577620055875,7.799778853496112,7.933005455607121,8.338227341843599,10.151108622255158,9.763138482351753,10.725335798744725,9.84351413283494,11.399375720887859,9.908147934944399,9.030531227933759,9.297228085491852,9.513180971934442,8.245274592175575,8.212079114022583,6.806095778695605,9.019308790281055,8.812483248777681,9.264719798211917,6.3192239627057205,8.891667621997488,7.592512672059884,10.736775974284726,8.95768131215874,7.186461784210552,9.962061447383354,8.493786633359784,7.864893613717495,10.120739417691384,7.969746563827035,10.639513116616468,9.832582766749427,10.092391206372168,8.792967614307198,6.983036205924376,10.37532734328602,6.8566714070669565,9.800444341869369,8.557824563842061,8.082349777418882,7.845005428623423,10.498896313265792,9.725285660244396,7.886157097453613,10.51699031947367,10.552377322767272,8.710807740343217,10.735054758780253,13.79071394247492,8.96427042647962,8.828427656511318,6.353815290827313,10.559995327831992,8.232877059649397,7.8264587978571285,9.47550555868914,9.40780367527844,12.517852776892624,10.439181695603654
7,7.114431595486781,5.516462132790741,6.516506563739603,8.163414039327844,5.285377634468899,8.097845542223816,6.393710147654152,10.940460088531077,8.547957520429708,7.966860264761571,9.380984221340903,8.109393003462168,7.438952592505808,6.90107390898333,9.299323384282607,9.910944789574105,7.199705996525199,9.146327310992826,9.175318052395994,8.805941302880854,7.742457930463912,9.944245604269755,8.64273930019934,6.8117923503872575,9.536989318131415,7.371073310882025,8.000406211225133,7.817944670630645,8.275486076045766,10.195512216282442,9.960874077108304,10.4973389567966,10.073768479455296,11.196219188896855,10.063143219013071,8.973602652845548,9.336318506299218,9.657458398241559,8.270818131634577,8.094832378147652,6.756730489931982,8.903546268235957,8.695869382695781,9.082880924515136,6.695787460869062,9.11773362980094,7.681255482562422,10.667267866623707,8.979509646878743,7.034519060571101,9.77169467616022,8.288294116754587,7.6662200538455405,10.017023205362735,8.055345329989866,10.36238073523721,9.67311585053025,9.943505474316176,8.808912147067616,7.126340620275171,10.619585649645753,6.933731413163658,9.779370416778487,8.371533054769088,8.104362706294033,7.824989286111937,10.779543800724745,9.838592138045872,7.886785964417595,10.20240722933123,10.11947448653954,8.786816585547083,10.755837653864504,13.720369208440788,9.072002170300857,8.580681660828066,6.372452855504575,10.547708858430042,8.137133843253919,7.444463936527274,9.436160670123481,9.446219547412138,12.341364320986916,10.317100852456734
8,7.372820880513629,5.413719548382376,6.6032780929475505,7.904648087062157,5.235690134532003,8.120223262765567,6.2194782248994755,10.896287207567958,8.504630054394207,7.675929143075809,9.385443234068978,8.100764745912638,7.471360457643583,6.769699402344532,9.208039356914801,9.943823718945776,7.215197324752808,9.034425308134459,9.043935152792162,8.852761391276067,7.75168607440046,9.94538339846779,8.608736196857922,6.812416186896703,9.566592048080231,7.574065477222919,8.194703611290286,7.555800987729561,8.377484605172334,10.147369869885313,10.085579949829379,10.330671792783649,10.29710430404783,11.140906370405919,10.143651318214864,8.938628049011168,9.536757413171557,9.725150657153701,8.445201519109474,8.08764061206032,6.63405200161157,8.840101460566492,8.537091575051459,8.969037995839336,7.1069833976952275,9.296467928574831,7.859065038098887,10.708016923481615,8.953075575966594,6.899001840819397,9.508378637438476,8.248314745274332,7.710715268445075,9.999575462392581,8.256798164227266,10.14746083091171,9.562022473764774,9.964964246434352,8.8529289884938,7.252405153807773,10.930217557450382,7.083854624808968,9.654905100712803,8.352981464935787,8.020062768232536,7.66486958988054,11.09677510482403,9.625295598611444,7.912629056607917,9.828364100901917,9.65902680597392,8.783995339651558,10.500508117518018,13.655717300323536,9.252868819572,8.539028083321671,6.326249180301543,10.505688475221518,7.978755306467918,7.311086642830898,9.371275974759591,9.519235398179742,12.27358415286535,10.244359618874006
9,7.546100601763445,5.310443613527234,6.6432858439296405,7.708442368124811,5.3172829124531145,8.09687971703961,6.057805147123691,11.031433685837548,8.50020600045585,7.618362259726764,9.334993816979962,8.194414160880696,7.5168313877556905,6.633699930335393,9.272886598080618,9.914515163999042,7.392242495337235,8.845258201420851,8.780763567134898,8.650328109637087,7.906377891255766,9.91373551315863,8.583704750729158,6.716257229632243,9.57133506288994,7.569705919158468,8.268915743153384,7.30195851400926,8.437885965563424,10.143411749152728,10.374844634503347,10.251823248598967,10.394809804345282,10.99723855417755,10.202787519191492,8.916435801164486,9.766482706598449,9.542270951275002,8.60449303419162,8.167188747349211,6.431039744610625,8.740879735244611,8.329058384086792,8.824397725640889,7.360725741922806,9.494283100314332,8.032335885996854,10.729038021799155,8.84067174301747,6.927911321716529,9.581641315329263,8.410779860514662,7.920745764220421,9.871305502871031,8.24321108696577,10.137032433814309,9.490042094409318,9.864525947420926,8.94196771155516,7.209797919141645,11.258443747895921,7.514028333848522,9.452303426141478,8.33530630968739,7.944400958920235,7.434360832394994,11.07009313932818,9.582371692207847,7.9312123677472215,9.325437840792242,9.253766549925256,8.700731415113601,10.435513702278989,13.688640264364388,9.401169991473505,8.454366594035335,6.246929227171899,10.581421360287221,7.866563229052068,7.301133295836973,9.103704124368647,9.40237208513113,12.158205411767447,10.242142876679488
10,7.7141712692969095,5.386412638687121,6.57677631076453,7.573606792020838,5.446899362099476,7.977826766182905,6.054083335685572,11.090286300436734,8.558816513017348,7.714709001498541,9.310930591461775,8.19717657595651,7.572339280564693,6.492302933934308,9.279864916829062,9.80097207064664,7.557626118040755,8.660885968022942,8.50487635784449,8.856594362172142,8.009358067764932,10.04164847014264,8.579134732755971,6.403301559074345,9.461084126045726,7.443623166324877,8.274392465208066,6.9994397329041735,8.576481080429922,10.18638698674116,10.507686154323732,10.269903583305743,10.270798342991112,10.863399471104685,10.154959474347464,8.866685014011646,9.90578381930431,9.443369470814027,8.488626695349751,8.187395172340008,6.345494920602015,8.659399569774088,8.176490194842872,8.713463763741052,7.326580204876914,9.301517211671108,8.168799791974998,10.869838516804872,8.655320624855552,6.999620291593155,9.526263687214247,8.515546929057322,8.100836807484464,10.00396630476091,8.322684696432576,9.968607746243379,9.59558967833089,9.732463679104622,9.001031604061648,6.910637750124714,11.35955083961818,7.696680210955977,9.302482158512591,8.443996922549776,7.751402429749494,7.19915720951074,11.069908470433049,9.633564940950317,8.017479506181822,8.900096926046265,9.060605727314849,8.613113756905516,10.21206751887319,13.360805664504234,9.3391080600748,8.56193339597893,6.001715968027895,10.706343121919087,7.795335133081631,7.472413823070163,8.894907040473742,9.186004509503828,11.907806313264658,10.120264226686274
11,7.956082161642284,5.552474702361007,6.509347036024871,7.573849511994519,5.798371687617747,7.872827117851296,6.171563749179256,11.131465385924498,8.558442687081147,7.811471794931428,9.460986523316652,7.987884920623501,7.556924364998677,6.323622699509582,9.227027645576484,9.667620017964353,7.704935990058262,8.502773896636207,8.31317397461537,8.887364712897364,8.09080724493347,10.132923801641411,8.552288403779244,6.263497634008958,9.362883987063904,7.460889963594914,8.424597916867341,6.825068795651419,8.703696033006072,10.39534576043696,10.637081912177175,10.265917219141478,10.0796829689821,10.846745378819254,10.128252246342383,8.76402765034249,10.322467311933279,9.374848236615644,8.458522462470164,8.067765558919598,6.172331887596989,8.612866825856287,8.327894086971867,8.477600821588926,7.448875674045806,8.980251845098705,8.29856208122102,10.983237624069794,8.495383315681917,7.290404356344363,9.316946520107258,8.419692193110981,8.118215942106728,9.981440674381082,8.452685497140372,9.729379929127628,9.792308640194097,9.320617209001451,9.015902512718371,6.687855537022511,11.319636026130816,7.760208915145659,9.228700678441225,8.442026967446207,7.363865153468078,7.037731396944883,11.065166275988343,9.509903228608314,8.173315046541546,8.916756822808505,9.03664042221997,8.321233940479477,9.833329683497881,13.000642393520788,9.360349382813851,8.700440454522472,5.762928201404852,10.71663370558405,7.820031519859068,7.641328455102256,8.86128466695276,8.940913194265121,11.647078589430716,10.132073134800144
